Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Denver Broncos,DEN,DST,17,63,3.71,15,0.88,9,0.53,12,0.71,2,0.12,5,0.29,0,0.0,179.0,10.53,10.0,6.67,10.18,3,2,2,3,7,1.43,0.7,10.12,179.0,10.53,10.0,6.67,10.18,3,2,2,3,7,1.43,0.7,10.12,179.0,10.53,10.0,6.67,10.18,3,2,2,3,7,1.43,0.7,10.12
Pittsburgh Steelers,PIT,DST,17,40,2.35,17,1.0,16,0.94,18,1.06,0,0.0,1,0.06,1,0.06,146.0,8.59,9.0,4.6,9.11,3,1,3,5,5,1.43,0.42,9.03,146.0,8.59,9.0,4.6,9.11,3,1,3,6,4,1.43,0.31,8.91,146.0,8.59,9.0,4.6,9.11,3,1,3,6,4,1.43,0.31,8.91
Minnesota Vikings,MIN,DST,17,49,2.88,24,1.41,9,0.53,10,0.59,0,0.0,3,0.18,0,0.0,162.0,9.53,8.0,5.03,9.89,1,3,5,3,5,0.89,0.42,8.58,162.0,9.53,8.0,5.03,9.89,1,4,3,4,5,1.12,0.42,8.75,162.0,9.53,8.0,5.03,9.89,1,3,4,4,5,1.12,0.42,8.75
Houston Texans,HOU,DST,17,49,2.88,19,1.12,9,0.53,10,0.59,1,0.06,3,0.18,0,0.0,139.0,8.18,9.0,6.29,8.02,7,1,0,5,4,1.12,0.31,8.28,139.0,8.18,9.0,6.29,8.02,7,1,0,4,5,1.12,0.42,8.4,139.0,8.18,9.0,6.29,8.02,7,1,0,4,5,1.12,0.42,8.4
Green Bay Packers,GB,DST,17,45,2.65,17,1.0,14,0.82,15,0.88,0,0.0,1,0.06,0,0.0,148.0,8.71,7.0,5.49,8.84,3,3,4,3,4,0.7,0.31,7.49,148.0,8.71,7.0,5.49,8.84,4,2,4,3,4,0.7,0.31,7.49,148.0,8.71,7.0,5.49,8.84,3,3,4,2,5,0.7,0.42,7.6
Buffalo Bills,BUF,DST,17,39,2.29,16,0.94,16,0.94,17,1.0,1,0.06,3,0.18,0,0.0,133.0,7.82,6.0,6.53,7.61,5,2,2,3,5,0.89,0.42,6.86,133.0,7.82,6.0,6.53,7.61,5,2,2,2,6,0.89,0.55,6.99,133.0,7.82,6.0,6.53,7.61,5,4,0,3,5,0.89,0.42,6.86
Seattle Seahawks,SEA,DST,17,45,2.65,13,0.76,5,0.29,14,0.82,1,0.06,4,0.24,1,0.06,136.0,8.0,6.0,5.97,7.95,5,4,1,2,5,0.7,0.42,6.85,136.0,8.0,6.0,5.97,7.95,5,4,1,2,5,0.7,0.42,6.85,136.0,8.0,6.0,5.97,7.95,5,4,1,2,5,0.7,0.42,6.85
Los Angeles Chargers,LAC,DST,17,46,2.71,15,0.88,6,0.35,8,0.47,0,0.0,1,0.06,0,0.0,128.0,7.53,7.0,5.77,7.55,6,2,3,2,4,0.55,0.31,6.84,128.0,7.53,7.0,5.77,7.55,6,2,3,2,4,0.55,0.31,6.84,128.0,7.53,7.0,5.77,7.55,7,1,3,3,3,0.55,0.21,6.73
Philadelphia Eagles,PHI,DST,17,41,2.41,13,0.76,13,0.76,18,1.06,0,0.0,1,0.06,0,0.0,135.0,7.94,7.0,5.37,8.11,4,2,6,2,3,0.42,0.21,6.83,135.0,7.94,7.0,5.37,8.11,4,2,6,2,3,0.42,0.21,6.83,135.0,7.94,7.0,5.37,8.11,4,2,6,2,3,0.42,0.21,6.83
Arizona Cardinals,ARI,DST,17,41,2.41,9,0.53,8,0.47,16,0.94,2,0.12,0,0.0,1,0.06,107.0,6.29,7.0,5.28,6.45,5,3,1,6,2,0.89,0.13,6.48,107.0,6.29,7.0,5.28,6.45,5,3,1,7,1,0.89,0.06,6.39,107.0,6.29,7.0,5.28,6.45,5,3,2,6,1,0.7,0.06,6.23
