Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Baltimore Ravens,BAL,DST,16.99,56.27,3.31,16.73,0.98,12.28,0.72,15.32,0.9,0.78,0.05,0.88,0.05,0.95,0.06,161.89,9.53,9.12,4.11,10.41,1.64,3.51,2.86,4.19,4.8,1.21,0.43,9.43,161.89,9.53,9.12,4.11,10.41,1.82,3.88,3.05,3.44,4.8,0.98,0.43,9.28,161.89,9.53,9.12,4.11,10.41,1.65,3.49,2.86,4.19,4.8,1.21,0.43,9.43,5,9.34,158.75,1.0
Dallas Cowboys,DAL,DST,16.99,47.09,2.78,17.15,1.01,10.49,0.62,15.26,0.9,0.75,0.05,5.39,0.32,0.91,0.05,175.65,10.34,7.75,9.8,9.13,6.07,1.62,1.33,1.67,6.29,0.88,0.61,8.34,175.65,10.34,7.75,9.8,9.13,6.07,1.62,1.33,1.58,6.39,0.88,0.62,8.35,175.65,10.34,7.75,9.8,9.13,6.07,1.61,1.34,1.58,6.39,0.88,0.62,8.35,5,8.58,145.88,4.0
Miami Dolphins,MIA,DST,16.99,52.44,3.08,13.67,0.8,10.89,0.64,14.0,0.82,0.19,0.01,3.65,0.22,0.25,0.01,143.54,8.45,8.29,6.69,8.16,4.14,3.51,2.27,4.88,2.19,0.72,0.15,7.56,143.54,8.45,8.29,6.69,8.16,4.14,2.69,2.33,5.45,2.38,0.86,0.16,7.69,143.54,8.45,8.29,6.69,8.16,4.89,2.75,2.27,4.89,2.18,0.72,0.15,7.56,5,8.53,144.97,5.0
San Francisco 49ers,SF,DST,16.99,47.04,2.77,20.89,1.23,7.01,0.41,11.09,0.65,0.75,0.05,1.42,0.09,0.0,0.0,143.46,8.44,8.15,5.36,8.62,5.72,1.91,1.96,3.18,4.22,0.79,0.34,7.96,143.46,8.44,8.15,5.36,8.62,6.28,0.59,4.21,2.44,3.47,0.58,0.27,7.68,143.46,8.44,8.15,5.36,8.62,5.53,2.09,2.72,2.42,4.22,0.67,0.34,7.85,5,8.42,143.2,6.0
New York Jets,NYJ,DST,16.99,46.53,2.74,15.51,0.91,8.72,0.52,12.25,0.72,2.65,0.16,2.32,0.14,0.99,0.06,141.68,8.34,7.54,5.67,8.37,4.96,1.0,3.91,4.67,2.45,0.76,0.17,7.39,141.68,8.34,7.54,5.67,8.37,4.96,1.02,4.64,2.98,3.39,0.62,0.26,7.37,141.68,8.34,7.54,5.67,8.37,4.96,1.0,3.91,3.92,3.2,0.76,0.24,7.47,5,9.32,158.45,2.0
Buffalo Bills,BUF,DST,16.99,50.61,2.98,17.82,1.05,11.56,0.68,11.55,0.68,0.38,0.02,1.78,0.11,1.14,0.07,156.82,9.23,7.22,7.34,8.73,3.86,4.59,3.25,2.05,3.25,0.46,0.23,7.23,156.82,9.23,7.22,7.34,8.73,3.09,4.6,3.25,2.8,3.25,0.56,0.23,7.33,156.82,9.23,7.22,7.34,8.73,3.09,4.6,3.25,2.8,3.25,0.56,0.23,7.33,5,7.98,135.73,11.0
Kansas City Chiefs,KC,DST,16.99,55.11,3.24,8.99,0.53,9.2,0.54,13.59,0.8,0.2,0.01,2.09,0.13,0.02,0.0,131.11,7.72,7.16,4.11,8.46,3.93,3.33,3.0,4.48,2.25,0.66,0.15,7.18,131.11,7.72,7.16,4.11,8.46,3.93,3.25,3.08,4.48,2.25,0.66,0.15,7.18,131.11,7.72,7.16,4.11,8.46,3.93,4.08,2.25,4.48,2.25,0.66,0.15,7.18,5,8.18,139.03,8.0
Indianapolis Colts,IND,DST,16.99,48.71,2.87,14.25,0.84,9.62,0.57,15.42,0.91,0.84,0.05,3.48,0.21,1.06,0.06,134.69,7.93,6.84,6.75,7.65,6.66,1.68,3.12,1.72,3.81,0.51,0.29,6.74,134.69,7.93,6.84,6.75,7.65,6.66,2.39,0.72,3.41,3.81,0.78,0.29,6.98,134.69,7.93,6.84,6.75,7.65,6.66,1.49,3.31,1.72,3.81,0.51,0.29,6.74,5,8.08,137.42,9.0
Cleveland Browns,CLE,DST,16.99,45.76,2.69,16.36,0.96,9.62,0.57,11.67,0.69,0.02,0.0,2.94,0.18,0.19,0.01,141.38,8.32,6.32,6.57,8.09,5.29,2.0,3.25,1.75,4.69,0.62,0.39,6.92,141.38,8.32,6.32,6.57,8.09,5.29,2.76,2.48,1.75,4.69,0.62,0.39,6.92,141.38,8.32,6.32,6.57,8.09,5.25,2.05,3.25,1.75,4.69,0.62,0.39,6.92,5,8.0,135.93,10.0
New Orleans Saints,NO,DST,16.99,37.33,2.2,15.93,0.94,10.02,0.59,9.48,0.56,0.01,0.0,1.8,0.11,0.75,0.05,137.62,8.1,6.57,6.49,7.89,6.13,2.47,2.15,1.6,4.64,0.61,0.38,6.92,137.62,8.1,6.57,6.49,7.89,6.88,2.47,1.4,1.6,4.64,0.61,0.38,6.92,137.62,8.1,6.57,6.49,7.89,6.14,2.46,2.14,1.61,4.64,0.61,0.38,6.92,5,7.69,130.73,13.0
