Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Seattle Seahawks,SEA,DST,16.0,38.29,2.39,16.1,1.0,10.33,0.64,14.86,0.93,1.14,0.07,2.43,0.15,0.9,0.05,155.52,9.72,9.36,6.13,9.62,3.38,1.9,2.19,4.24,4.29,1.22,0.37,9.16,155.52,9.72,9.36,6.13,9.62,3.57,1.71,2.38,4.05,4.29,1.12,0.37,9.11,155.52,9.72,9.36,6.13,9.62,3.38,1.14,2.95,5.0,3.52,1.22,0.29,9.07,3,9.09,154.58,4.0
Houston Texans,HOU,DST,16.0,37.14,2.33,17.29,1.08,12.1,0.76,14.48,0.9,1.0,0.06,4.14,0.26,1.0,0.06,149.71,9.36,9.45,4.71,9.84,3.67,1.24,3.14,5.38,2.57,1.31,0.2,9.1,149.71,9.36,9.45,4.71,9.84,3.48,0.67,3.76,6.29,1.81,1.31,0.14,9.02,149.71,9.36,9.45,4.71,9.84,3.67,1.24,3.9,5.43,1.76,1.02,0.13,8.84,3,9.53,161.99,1.0
Buffalo Bills,BUF,DST,16.0,53.71,3.36,19.43,1.22,9.95,0.62,13.05,0.81,0.81,0.05,1.38,0.08,1.67,0.1,151.33,9.46,8.64,6.34,9.26,3.48,1.52,3.62,3.33,4.05,0.89,0.34,8.49,151.33,9.46,8.64,6.34,9.26,3.86,1.33,3.38,3.38,4.05,0.89,0.34,8.5,151.33,9.46,8.64,6.34,9.26,3.48,1.52,3.57,3.38,4.05,0.89,0.34,8.5,3,9.4,159.87,3.0
Indianapolis Colts,IND,DST,16.0,40.76,2.54,12.57,0.79,13.1,0.82,16.86,1.05,0.38,0.02,1.9,0.11,0.29,0.02,129.38,8.08,9.14,6.37,7.92,5.29,1.05,2.67,2.52,4.48,0.8,0.39,8.14,129.38,8.08,9.14,6.37,7.92,5.29,1.24,1.71,3.29,4.48,0.96,0.39,8.27,129.38,8.08,9.14,6.37,7.92,5.29,1.24,1.9,3.1,4.48,0.92,0.39,8.24,3,8.57,145.77,6.0
San Francisco 49ers,SF,DST,16.0,36.48,2.28,21.62,1.35,7.19,0.45,10.29,0.64,0.24,0.01,3.43,0.22,0.0,0.0,136.62,8.54,9.0,5.88,8.54,4.33,1.71,3.29,2.9,3.76,0.75,0.31,8.19,136.62,8.54,9.0,5.88,8.54,4.38,1.67,3.29,3.67,3.0,0.75,0.23,8.11,136.62,8.54,9.0,5.88,8.54,4.33,1.71,3.33,2.67,3.95,0.74,0.33,8.21,3,8.19,139.15,7.0
Arizona Cardinals,ARI,DST,16.0,37.43,2.34,18.57,1.16,7.76,0.49,8.0,0.5,0.38,0.02,4.14,0.26,0.81,0.05,141.19,8.83,8.95,6.73,8.53,4.62,1.57,2.48,4.14,3.19,0.87,0.25,8.2,141.19,8.83,8.95,6.73,8.53,4.81,1.95,2.1,4.9,2.24,0.81,0.16,8.06,141.19,8.83,8.95,6.73,8.53,4.62,2.33,1.71,5.1,2.24,0.87,0.16,8.1,3,8.12,138.06,8.0
Baltimore Ravens,BAL,DST,16.0,46.71,2.92,12.05,0.75,10.29,0.65,13.62,0.86,0.76,0.05,1.05,0.06,2.05,0.12,131.76,8.23,8.52,5.59,8.32,4.52,2.14,2.24,5.1,2.0,0.85,0.14,7.79,131.76,8.23,8.52,5.59,8.32,4.43,2.0,2.38,5.19,2.0,0.86,0.14,7.81,131.76,8.23,8.52,5.59,8.32,4.52,2.14,2.29,5.05,2.0,0.84,0.14,7.79,3,8.94,151.94,5.0
Philadelphia Eagles,PHI,DST,16.0,45.81,2.86,13.14,0.82,14.71,0.92,19.29,1.21,0.38,0.02,3.43,0.21,4.62,0.29,146.95,9.19,7.74,7.39,8.63,5.14,2.9,1.81,2.14,4.0,0.66,0.36,7.69,146.95,9.19,7.74,7.39,8.63,5.14,2.14,2.76,1.9,4.05,0.64,0.36,7.67,146.95,9.19,7.74,7.39,8.63,5.14,2.95,1.95,1.95,4.0,0.64,0.36,7.67,3,9.5,161.58,2.0
Carolina Panthers,CAR,DST,16.0,43.76,2.74,15.0,0.94,11.62,0.73,18.05,1.13,0.05,0.0,2.48,0.15,0.76,0.05,127.9,7.99,8.83,7.86,7.51,5.24,1.95,3.0,3.1,2.71,0.62,0.22,7.49,127.9,7.99,8.83,7.86,7.51,5.05,1.95,3.24,2.81,2.95,0.61,0.26,7.51,127.9,7.99,8.83,7.86,7.51,5.24,1.95,3.0,2.9,2.9,0.62,0.26,7.51,3,8.02,136.28,9.0
New England Patriots,NE,DST,16.0,41.38,2.59,16.38,1.02,10.14,0.63,14.1,0.89,0.05,0.0,2.38,0.15,2.38,0.15,140.71,8.79,6.48,6.72,8.49,4.29,4.33,0.95,3.38,3.05,0.68,0.23,7.04,140.71,8.79,6.48,6.72,8.49,4.86,3.76,1.14,2.38,3.86,0.64,0.32,7.1,140.71,8.79,6.48,6.72,8.49,4.48,4.14,1.33,3.14,2.9,0.61,0.22,6.96,3,7.84,133.21,11.0
