Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Stephen Gostkowski,FA,K,0.0,16,33,2.06,36,2.25,0.92,57,38.62,0,0.0,6,0.38,11,0.69,12,0.75,4,0.25,52,3.25,52,3.25,1.0,160,10.0,1.0,171.0,10.69,11.0,4.73,9.05,3,1,3,4,5,1.29,0.45,10.75,171.0,10.69,11.0,4.73,9.05,3,2,2,4,5,1.29,0.45,10.75,171.0,10.69,11.0,4.73,9.05,3,1,3,4,5,1.29,0.45,10.75
Chris Boswell,PIT,K,1.0,12,29,2.42,32,2.67,0.91,51,41.17,1,0.08,9,0.75,8,0.67,9,0.75,2,0.17,26,2.17,27,2.25,0.96,123,10.25,1.0,126.0,10.5,10.5,4.62,8.94,2,2,1,4,3,1.4,0.33,10.48,126.0,10.5,10.5,4.62,8.94,2,2,1,4,3,1.4,0.33,10.48,126.0,10.5,10.5,4.62,8.94,2,3,0,4,3,1.4,0.33,10.48
Graham Gano,NYG,K,1.0,16,30,1.88,36,2.25,0.83,52,38.0,1,0.06,10,0.62,4,0.25,13,0.81,2,0.12,56,3.5,58,3.62,0.97,166,10.38,1.0,163.0,10.19,9.5,4.15,8.91,2,3,5,1,5,0.6,0.45,9.62,163.0,10.19,9.5,4.15,8.91,2,1,6,2,5,0.78,0.45,9.77,163.0,10.19,9.5,4.15,8.91,3,2,3,3,5,1.0,0.45,9.94
Robbie Gould,FA,K,0.0,16,33,2.06,39,2.44,0.85,55,37.31,1,0.06,8,0.5,10,0.62,7,0.44,7,0.44,28,1.75,28,1.75,1.0,145,9.06,1.0,148.0,9.25,10.0,4.84,7.79,4,2,1,3,6,1.29,0.6,9.89,148.0,9.25,10.0,4.84,7.79,4,2,1,5,4,1.29,0.33,9.63,148.0,9.25,10.0,4.84,7.79,4,2,1,3,6,1.29,0.6,9.89
Justin Tucker,BAL,K,1.0,16,33,2.06,40,2.5,0.82,52,36.06,0,0.0,10,0.62,9,0.56,10,0.62,4,0.25,29,1.81,29,1.81,1.0,149,9.31,1.0,146.0,9.12,9.0,4.91,7.66,5,3,1,3,4,0.78,0.33,8.84,146.0,9.12,9.0,4.91,7.66,6,1,2,3,4,0.78,0.33,8.84,146.0,9.12,9.0,4.91,7.66,5,3,1,3,4,0.78,0.33,8.84
Josh Brown,FA,K,0.0,16,30,1.88,32,2.0,0.94,53,33.0,1,0.06,6,0.38,12,0.75,8,0.5,3,0.19,44,2.75,45,2.81,0.98,141,8.81,1.0,148.0,9.25,8.5,5.13,7.68,5,2,2,1,6,0.78,0.6,8.86,148.0,9.25,8.5,5.13,7.68,5,2,2,2,5,0.78,0.45,8.72,148.0,9.25,8.5,5.13,7.68,5,3,1,1,6,0.78,0.6,8.86
Stephen Hauschka,FA,K,0.0,16,29,1.81,31,1.94,0.94,54,35.44,0,0.0,9,0.56,7,0.44,7,0.44,6,0.38,40,2.5,42,2.62,0.95,135,8.44,1.0,146.0,9.12,8.5,4.08,8.02,4,3,3,2,4,0.6,0.33,8.54,146.0,9.12,8.5,4.08,8.02,5,2,2,3,4,0.78,0.33,8.7,146.0,9.12,8.5,4.08,8.02,4,4,2,2,4,0.6,0.33,8.54
Brandon McManus,FA,K,0.0,16,30,1.88,35,2.19,0.86,57,35.62,0,0.0,12,0.75,8,0.5,5,0.31,5,0.31,35,2.19,36,2.25,0.97,141,8.81,1.0,140.0,8.75,8.5,4.46,7.52,6,1,2,4,3,0.78,0.23,8.42,140.0,8.75,8.5,4.46,7.52,6,2,1,4,3,0.78,0.23,8.42,140.0,8.75,8.5,4.46,7.52,6,1,2,5,2,0.78,0.14,8.31
Chandler Catanzaro,FA,K,0.0,16,28,1.75,31,1.94,0.9,47,28.56,1,0.06,12,0.75,9,0.56,6,0.38,0,0.0,53,3.31,58,3.62,0.91,151,9.44,1.0,143.0,8.94,8.5,3.82,7.98,2,3,5,4,2,0.6,0.14,8.41,143.0,8.94,8.5,3.82,7.98,2,3,6,3,2,0.45,0.14,8.27,143.0,8.94,8.5,3.82,7.98,2,4,4,4,2,0.6,0.14,8.41
Connor Barth,FA,K,0.0,12,23,1.92,28,2.33,0.82,53,37.92,0,0.0,9,0.75,8,0.67,3,0.25,3,0.25,25,2.08,26,2.17,0.96,110,9.17,1.0,103.0,8.58,7.5,4.21,7.48,5,1,1,2,3,0.71,0.33,8.1,103.0,8.58,7.5,4.21,7.48,4,2,1,1,4,0.71,0.5,8.27,103.0,8.58,7.5,4.21,7.48,6,0,1,1,4,0.71,0.5,8.27
Blair Walsh,FA,K,0.0,16,34,2.12,39,2.44,0.87,54,36.81,0,0.0,9,0.56,13,0.81,6,0.38,6,0.38,33,2.06,37,2.31,0.89,154,9.62,1.0,153.0,9.56,8.0,5.91,7.66,3,3,3,5,2,0.78,0.14,8.25,153.0,9.56,8.0,5.91,7.66,3,3,4,3,3,0.6,0.23,8.2,153.0,9.56,8.0,5.91,7.66,3,3,3,5,2,0.78,0.14,8.25
Cairo Santos,CHI,K,1.0,16,30,1.88,37,2.31,0.81,53,33.75,0,0.0,7,0.44,10,0.62,9,0.56,4,0.25,39,2.44,41,2.56,0.95,152,9.5,1.0,146.1,9.13,7.5,6.81,7.06,8,0,2,3,3,0.6,0.23,7.75,146.1,9.13,7.5,6.81,7.06,7,1,3,2,3,0.45,0.23,7.61,146.1,9.13,7.5,6.81,7.06,8,0,2,3,3,0.6,0.23,7.75
Dustin Hopkins,CLE,K,1.0,15,25,1.67,28,1.87,0.89,54,35.13,0,0.0,7,0.47,9,0.6,7,0.47,2,0.13,39,2.6,40,2.67,0.98,124,8.27,1.0,125.0,8.33,8.0,3.79,7.46,4,3,3,4,1,0.5,0.07,7.69,125.0,8.33,8.0,3.79,7.46,4,4,3,3,1,0.36,0.07,7.56,125.0,8.33,8.0,3.79,7.46,4,3,4,3,1,0.36,0.07,7.56
Josh Lambo,FA,K,0.0,16,26,1.62,32,2.0,0.81,54,38.62,0,0.0,4,0.25,7,0.44,11,0.69,4,0.25,28,1.75,31,1.94,0.9,127,7.94,1.0,125.0,7.81,8.0,3.15,7.33,4,4,3,4,1,0.45,0.07,7.56,125.0,7.81,8.0,3.15,7.33,5,2,4,4,1,0.45,0.07,7.56,125.0,7.81,8.0,3.15,7.33,4,4,3,4,1,0.45,0.07,7.56
Mike Nugent,FA,K,0.0,16,23,1.44,28,1.75,0.82,52,33.75,0,0.0,6,0.38,5,0.31,10,0.62,2,0.12,48,3.0,48,3.0,1.0,132,8.25,1.0,131.0,8.19,7.5,2.97,7.79,2,7,3,3,1,0.33,0.07,7.45,131.0,8.19,7.5,2.97,7.79,4,5,3,2,2,0.33,0.14,7.55,131.0,8.19,7.5,2.97,7.79,3,5,5,2,1,0.23,0.07,7.33
Dan Bailey,FA,K,0.0,16,30,1.88,32,2.0,0.94,54,35.88,0,0.0,9,0.56,10,0.62,6,0.38,5,0.31,25,1.56,25,1.56,1.0,121,7.56,1.0,131.0,8.19,8.0,3.73,7.36,4,2,6,2,2,0.33,0.14,7.51,131.0,8.19,8.0,3.73,7.36,3,6,3,2,2,0.33,0.14,7.51,131.0,8.19,8.0,3.73,7.36,3,3,6,2,2,0.33,0.14,7.51
Jason Myers,SEA,K,1.0,16,26,1.62,30,1.88,0.87,58,31.19,0,0.0,9,0.56,8,0.5,6,0.38,3,0.19,32,2.0,39,2.44,0.82,129,8.06,1.0,122.0,7.62,7.0,4.5,6.54,6,4,0,2,4,0.6,0.33,7.31,122.0,7.62,7.0,4.5,6.54,6,4,0,2,4,0.6,0.33,7.31,122.0,7.62,7.0,4.5,6.54,6,4,0,2,4,0.6,0.33,7.31
Randy Bullock,FA,K,0.0,11,19,1.73,23,2.09,0.83,49,40.45,1,0.09,4,0.36,6,0.55,8,0.73,0,0.0,22,2.0,25,2.27,0.88,94,8.55,1.0,87.0,7.91,7.0,2.74,7.68,3,4,2,1,1,0.22,0.1,7.15,87.0,7.91,7.0,2.74,7.68,3,3,3,1,1,0.22,0.1,7.15,87.0,7.91,7.0,2.74,7.68,4,2,3,1,1,0.22,0.1,7.15
Nick Folk,TEN,K,1.0,8,13,1.62,16,2.0,0.81,55,39.38,0,0.0,2,0.25,6,0.75,3,0.38,2,0.25,19,2.38,19,2.38,1.0,67,8.38,0.88,65.0,8.12,9.0,3.8,7.27,1,2,3,1,1,0.33,0.14,7.03,65.0,8.12,9.0,3.8,7.27,1,2,2,3,0,0.6,0.0,7.09,65.0,8.12,9.0,3.8,7.27,1,2,3,1,1,0.33,0.14,7.03
Matt Prater,ARI,K,1.0,16,22,1.38,24,1.5,0.92,59,33.19,0,0.0,3,0.19,8,0.5,6,0.38,5,0.31,36,2.25,38,2.38,0.95,110,6.88,1.0,118.0,7.38,6.5,4.41,6.36,8,2,1,1,4,0.45,0.33,6.79,118.0,7.38,6.5,4.41,6.36,7,2,2,1,4,0.45,0.33,6.79,118.0,7.38,6.5,4.41,6.36,8,2,2,0,4,0.33,0.33,6.66
Shayne Graham,FA,K,0.0,5,11,2.2,13,2.6,0.85,54,46.8,0,0.0,2,0.4,4,0.8,2,0.4,3,0.6,8,1.6,8,1.6,1.0,47,9.4,0.72,49.0,9.8,10.0,4.6,8.36,1,1,0,2,1,1.5,0.25,7.16,49.0,9.8,10.0,4.6,8.36,1,1,1,1,1,0.67,0.25,6.74,49.0,9.8,10.0,4.6,8.36,1,1,0,2,1,1.5,0.25,7.16
Dan Carpenter,FA,K,0.0,16,23,1.44,27,1.69,0.85,52,33.5,0,0.0,5,0.31,8,0.5,7,0.44,3,0.19,34,2.12,40,2.5,0.85,121,7.56,1.0,116.0,7.25,7.0,3.71,6.52,8,0,3,4,1,0.45,0.07,6.8,116.0,7.25,7.0,3.71,6.52,7,2,2,5,0,0.45,0.0,6.71,116.0,7.25,7.0,3.71,6.52,7,1,3,4,1,0.45,0.07,6.8
Sebastian Janikowski,FA,K,0.0,16,21,1.31,26,1.62,0.81,56,27.94,0,0.0,7,0.44,5,0.31,5,0.31,4,0.25,38,2.38,39,2.44,0.97,117,7.31,1.0,114.0,7.12,7.0,4.4,6.15,8,1,4,2,1,0.23,0.07,6.38,114.0,7.12,7.0,4.4,6.15,7,1,4,1,3,0.33,0.23,6.7,114.0,7.12,7.0,4.4,6.15,8,0,5,1,2,0.23,0.14,6.48
Adam Vinatieri,FA,K,0.0,16,25,1.56,27,1.69,0.93,55,30.31,0,0.0,7,0.44,6,0.38,8,0.5,4,0.25,32,2.0,34,2.12,0.94,115,7.19,1.0,123.0,7.69,6.0,5.44,6.29,8,1,0,4,3,0.78,0.23,6.76,123.0,7.69,6.0,5.44,6.29,8,1,1,3,3,0.6,0.23,6.61,123.0,7.69,6.0,5.44,6.29,8,1,0,4,3,0.78,0.23,6.76
