Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Brandon Aubrey,DAL,K,1.0,17.0,36.0,2.12,38.0,2.24,0.95,60.0,42.88,0.0,0.0,9.0,0.53,13.0,0.76,4.0,0.24,10.0,0.59,49.0,2.88,52.0,3.06,0.94,166.0,9.76,1.0,181.0,10.65,10.0,4.46,9.15,2.0,3.0,3.0,4.0,5.0,1.12,0.42,10.23,181.0,10.65,10.0,4.46,9.15,2.0,2.0,5.0,4.0,4.0,0.89,0.31,9.94,181.0,10.65,10.0,4.46,9.15,2.0,3.0,3.0,5.0,4.0,1.12,0.31,10.11,1,7.63,129.73,14.0
Brett Maher,FA,K,0.0,10.84,20.58,1.97,24.79,2.43,0.83,53.37,33.94,0.0,0.0,5.11,0.45,5.16,0.54,6.05,0.63,4.26,0.35,24.05,1.96,26.37,2.19,0.88,100.74,9.48,0.92,100.37,9.18,10.53,5.82,7.38,4.47,0.32,0.53,2.16,3.37,1.2,0.6,9.05,100.37,9.18,10.53,5.82,7.38,4.47,0.32,0.21,2.79,3.05,1.27,0.57,9.07,100.37,9.18,10.53,5.82,7.38,4.16,0.63,0.53,2.16,3.37,1.2,0.6,9.05,5,5.24,89.06,37.0
Justin Tucker,BAL,K,1.0,16.88,33.2,1.96,37.68,2.23,0.88,55.78,39.94,0.0,0.0,10.03,0.59,9.6,0.57,9.18,0.55,4.38,0.26,42.08,2.5,42.89,2.55,0.98,155.92,9.24,1.0,159.63,9.46,8.77,3.91,8.42,3.66,2.98,2.88,4.11,3.25,0.78,0.24,8.94,159.63,9.46,8.77,3.91,8.42,3.66,2.85,3.8,3.32,3.25,0.67,0.24,8.84,159.63,9.46,8.77,3.91,8.42,3.66,2.98,2.88,3.88,3.48,0.78,0.26,8.96,5,8.09,137.54,2.0
Greg Zuerlein,NYJ,K,1.0,16.28,32.38,1.99,37.54,2.31,0.86,57.06,38.24,0.12,0.01,6.25,0.38,10.88,0.67,10.66,0.66,4.48,0.27,25.8,1.58,27.97,1.72,0.93,140.58,8.64,1.0,142.57,8.77,9.09,5.03,7.34,5.49,2.22,2.11,2.42,4.05,0.74,0.36,8.64,142.57,8.77,9.09,5.03,7.34,5.08,1.89,4.08,1.09,4.14,0.51,0.37,8.46,142.57,8.77,9.09,5.03,7.34,5.49,2.22,1.92,2.78,3.86,0.77,0.34,8.64,5,6.88,117.02,27.0
Daniel Carlson,LV,K,1.0,16.88,31.66,1.88,34.95,2.07,0.9,55.2,36.78,0.0,0.0,10.71,0.64,8.74,0.52,7.15,0.42,5.06,0.3,34.06,2.02,35.14,2.09,0.97,140.0,8.31,1.0,146.32,8.68,8.4,4.27,7.58,5.2,2.18,3.22,2.63,3.65,0.66,0.28,8.28,146.32,8.68,8.4,4.27,7.58,5.62,1.78,2.8,3.03,3.65,0.74,0.28,8.34,146.32,8.68,8.4,4.27,7.58,5.2,2.0,3.82,2.22,3.65,0.61,0.28,8.23,5,7.73,131.45,7.0
Matt Gay,IND,K,1.0,15.77,29.09,1.86,33.58,2.14,0.87,56.17,39.09,0.0,0.0,7.58,0.47,9.34,0.6,6.05,0.42,6.12,0.37,33.95,2.16,34.83,2.21,0.98,135.58,8.64,0.98,139.52,8.89,8.98,4.32,7.85,4.23,2.38,2.83,4.15,2.17,0.74,0.15,8.38,139.52,8.89,8.98,4.32,7.85,3.69,2.78,3.66,3.46,2.17,0.62,0.15,8.28,139.52,8.89,8.98,4.32,7.85,4.23,2.38,2.83,4.15,2.17,0.74,0.15,8.38,5,7.59,129.05,16.0
Jason Myers,SEA,K,1.0,16.88,30.05,1.78,34.89,2.06,0.86,55.65,36.49,0.0,0.0,6.43,0.38,11.25,0.67,8.25,0.49,4.12,0.24,39.22,2.33,40.54,2.41,0.97,145.22,8.6,1.0,145.85,8.64,8.31,4.17,7.57,5.11,3.38,3.98,1.45,2.95,0.39,0.23,7.95,145.85,8.64,8.31,4.17,7.57,5.8,2.57,3.03,2.52,2.95,0.63,0.23,8.13,145.85,8.64,8.31,4.17,7.57,5.11,3.38,3.68,1.75,2.95,0.42,0.23,7.98,5,7.67,130.39,10.0
Younghoe Koo,ATL,K,1.0,16.75,31.69,1.9,35.77,2.14,0.88,54.0,36.69,0.0,0.0,9.35,0.56,9.11,0.55,8.32,0.5,4.91,0.3,29.95,1.79,31.29,1.88,0.96,138.6,8.3,1.0,143.17,8.58,8.17,4.96,7.19,6.83,2.71,1.17,2.54,3.51,0.63,0.3,8.01,143.17,8.58,8.17,4.96,7.19,6.98,1.86,1.86,2.12,3.92,0.63,0.34,8.06,143.17,8.58,8.17,4.96,7.19,6.83,2.58,1.29,2.54,3.51,0.63,0.3,8.01,5,7.77,132.11,5.0
Chris Boswell,PIT,K,1.0,15.12,26.57,1.74,30.48,2.02,0.87,57.62,38.68,0.0,0.0,7.12,0.46,6.23,0.41,7.18,0.47,6.03,0.4,25.37,1.69,26.65,1.78,0.96,118.08,7.86,1.0,124.32,8.19,8.69,4.13,7.19,5.02,1.86,2.32,3.77,2.15,0.66,0.17,8.06,124.32,8.19,8.69,4.13,7.19,5.85,1.58,2.05,3.22,2.43,0.61,0.2,8.05,124.32,8.19,8.69,4.13,7.19,5.02,1.45,2.74,3.35,2.57,0.66,0.2,8.1,5,7.55,128.3,18.0
Evan McPherson,CIN,K,1.0,16.79,25.79,1.54,30.79,1.84,0.84,57.37,38.75,0.32,0.02,5.0,0.29,5.79,0.35,7.89,0.47,6.79,0.4,41.58,2.48,43.26,2.58,0.96,135.63,8.09,1.0,140.42,8.38,8.63,4.22,7.3,6.37,1.11,3.63,3.26,2.42,0.6,0.17,8.05,140.42,8.38,8.63,4.22,7.3,5.26,3.32,2.37,3.63,2.21,0.6,0.15,8.03,140.42,8.38,8.63,4.22,7.3,6.37,1.11,4.11,2.79,2.42,0.54,0.17,7.99,3,7.59,128.97,17.0
