Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Stephen Gostkowski,FA,K,0.0,16.0,30.58,1.91,34.32,2.14,0.89,54.26,34.48,0.21,0.01,8.47,0.53,8.89,0.56,10.58,0.66,2.42,0.15,48.95,3.06,50.37,3.15,0.97,153.32,9.58,1.0,156.11,9.76,10.18,4.65,8.29,3.68,1.74,2.58,3.47,4.53,1.15,0.39,9.88,156.11,9.76,10.18,4.65,8.29,3.68,2.05,1.32,4.89,4.05,1.34,0.35,9.98,156.11,9.76,10.18,4.65,8.29,3.95,1.47,1.63,4.89,4.05,1.34,0.35,9.98,3,6.09,103.59,13.0
Justin Tucker,BAL,K,1.0,16.0,34.53,2.16,38.26,2.39,0.9,55.0,40.3,0.0,0.0,7.16,0.44,9.89,0.62,10.63,0.67,6.84,0.43,30.79,1.92,30.79,1.92,1.0,145.58,9.1,1.0,158.68,9.92,9.61,4.57,8.48,4.05,1.63,2.58,2.32,5.42,0.98,0.54,9.72,158.68,9.92,9.61,4.57,8.48,4.37,1.21,2.68,2.79,4.95,0.98,0.46,9.65,158.68,9.92,9.61,4.57,8.48,3.84,1.84,2.58,2.79,4.95,0.98,0.46,9.65,3,8.47,143.97,1.0
Matt Bryant,FA,K,0.0,14.11,26.63,1.83,29.95,2.08,0.87,54.16,32.97,0.32,0.03,9.05,0.61,5.11,0.36,7.84,0.56,4.32,0.27,43.16,3.01,43.63,3.03,0.99,133.47,9.29,0.99,139.53,9.6,8.87,4.22,8.42,3.26,1.26,2.95,2.42,4.21,1.0,0.41,9.17,139.53,9.6,8.87,4.22,8.42,3.26,2.37,2.32,2.42,3.74,0.82,0.34,9.0,139.53,9.6,8.87,4.22,8.42,3.26,1.26,3.42,2.42,3.74,0.82,0.34,9.0,3,6.68,113.56,7.0
Wil Lutz,DEN,K,1.0,16.0,28.0,1.75,34.0,2.12,0.82,57.0,34.56,1.0,0.06,7.0,0.44,9.0,0.56,8.0,0.5,3.0,0.19,49.0,3.06,50.0,3.12,0.98,152.0,9.5,1.0,147.0,9.19,8.5,3.39,8.46,3.0,2.0,4.0,4.0,3.0,0.78,0.23,8.86,147.0,9.19,8.5,3.39,8.46,3.0,3.0,3.0,3.0,4.0,0.78,0.33,8.98,147.0,9.19,8.5,3.39,8.46,3.0,2.0,4.0,5.0,2.0,0.78,0.14,8.76,1,7.45,126.66,4.0
Dustin Hopkins,CLE,K,1.0,15.6,30.4,1.94,36.4,2.32,0.84,53.4,36.44,0.0,0.0,10.0,0.64,10.8,0.69,7.0,0.45,2.6,0.17,37.2,2.39,39.4,2.53,0.94,148.6,9.49,1.0,140.6,9.0,9.2,4.21,7.84,4.6,2.4,1.2,5.2,2.2,0.97,0.17,8.93,140.6,9.0,9.2,4.21,7.84,4.6,1.6,3.6,3.6,2.2,0.61,0.17,8.66,140.6,9.0,9.2,4.21,7.84,4.6,2.4,1.6,4.8,2.2,0.92,0.17,8.88,2,6.24,106.11,12.0
Stephen Hauschka,FA,K,0.0,16.0,31.32,1.96,35.11,2.19,0.9,54.37,36.92,0.0,0.0,10.16,0.63,10.47,0.65,7.89,0.49,2.79,0.17,35.0,2.19,38.47,2.4,0.9,143.79,8.99,1.0,142.42,8.9,8.26,3.87,7.93,4.26,3.68,1.84,2.42,3.79,0.64,0.31,8.48,142.42,8.9,8.26,3.87,7.93,4.58,2.68,2.21,2.74,3.79,0.69,0.31,8.53,142.42,8.9,8.26,3.87,7.93,4.26,3.79,1.74,2.42,3.79,0.64,0.31,8.48,3,5.32,90.49,16.0
Caleb Sturgis,FA,K,0.0,15.05,28.37,1.85,34.16,2.23,0.83,53.95,34.86,0.21,0.01,9.47,0.61,9.68,0.64,5.84,0.39,3.16,0.21,33.89,2.28,35.0,2.36,0.97,137.47,9.06,1.0,131.16,8.64,8.53,3.82,7.74,4.11,2.05,2.32,3.16,3.42,0.84,0.3,8.63,131.16,8.64,8.53,3.82,7.74,3.79,1.68,3.21,3.63,2.74,0.82,0.23,8.52,131.16,8.64,8.53,3.82,7.74,4.32,1.84,2.79,3.47,2.63,0.71,0.21,8.44,3,5.22,88.8,17.0
Graham Gano,NYG,K,1.0,16.0,29.79,1.87,36.74,2.3,0.81,53.16,37.34,0.32,0.02,6.53,0.41,8.05,0.5,12.63,0.79,2.26,0.14,39.53,2.47,41.58,2.59,0.95,151.79,9.49,1.0,146.05,9.13,8.0,4.69,7.78,4.74,3.0,2.47,1.42,4.37,0.57,0.38,8.38,146.05,9.13,8.0,4.69,7.78,4.74,2.37,2.58,1.95,4.37,0.66,0.38,8.46,146.05,9.13,8.0,4.69,7.78,5.05,2.68,1.63,2.26,4.37,0.73,0.38,8.51,3,7.57,128.72,3.0
Adam Vinatieri,FA,K,0.0,16.0,27.0,1.69,29.74,1.86,0.91,54.11,35.24,0.0,0.0,5.74,0.36,7.32,0.46,8.74,0.54,5.21,0.33,41.47,2.59,42.11,2.63,0.98,131.32,8.21,1.0,141.63,8.85,8.16,5.06,7.39,5.05,2.16,1.32,4.68,2.79,0.88,0.21,8.22,141.63,8.85,8.16,5.06,7.39,5.05,2.16,1.42,4.58,2.79,0.87,0.21,8.21,141.63,8.85,8.16,5.06,7.39,5.05,2.16,1.79,3.26,3.74,0.78,0.32,8.26,3,6.35,107.98,11.0
Jason Myers,SEA,K,1.0,16.0,26.6,1.66,32.4,2.02,0.82,56.8,34.34,0.0,0.0,7.8,0.49,5.0,0.31,8.4,0.52,5.4,0.34,30.2,1.89,34.8,2.18,0.87,132.0,8.25,1.0,129.2,8.08,8.5,4.82,6.8,6.0,2.2,1.2,2.6,4.0,0.71,0.33,8.13,129.2,8.08,8.5,4.82,6.8,6.6,1.6,1.2,2.6,4.0,0.71,0.33,8.13,129.2,8.08,8.5,4.82,6.8,6.0,2.2,1.8,2.0,4.0,0.6,0.33,8.04,2,6.55,111.4,10.0
