Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Aaron Rodgers,NYJ,QB,1.0,15,343,22.87,502,33.47,0.68,4643,309.53,9.25,45,3.0,6,0.4,36,2.4,60,4.0,257,17.13,4.28,18.0,1.2,3,0.2,0,0.0,562,37.47,18.0,1.2,1.0,397.4,26.49,24.6,6.96,26.7,0,0,1,3,11,14.0,2.75,30.08,397.4,26.49,24.6,6.96,26.7,0,0,1,3,11,14.0,2.75,30.68,397.4,26.49,24.6,6.96,26.7,0,0,1,3,11,14.0,2.75,30.08
Cam Newton,FA,QB,0.0,16,310,19.38,517,32.31,0.6,4051,253.19,7.84,21,1.31,17,1.06,35,2.19,126,7.88,706,44.12,5.6,51.0,3.19,14,0.88,2,0.12,643,40.19,51.0,3.19,1.0,369.4,23.09,24.3,7.83,22.59,1,2,1,3,9,3.0,1.29,25.97,369.4,23.09,24.3,7.83,22.59,1,2,1,3,9,3.0,1.29,27.56,369.4,23.09,24.3,7.83,22.59,1,2,1,3,9,3.0,1.29,25.97
Drew Brees,FA,QB,0.0,16,468,29.25,657,41.06,0.71,5476,342.25,8.33,46,2.88,14,0.88,24,1.5,21,1.31,86,5.38,4.1,5.0,0.31,1,0.06,1,0.06,678,42.38,5.0,0.31,1.0,391.8,24.49,24.1,7.76,24.01,1,0,2,4,9,4.33,1.29,27.09,391.8,24.49,24.1,7.76,24.01,1,0,2,4,9,4.33,1.29,27.25,391.8,24.49,24.1,7.76,24.01,1,0,2,4,9,4.33,1.29,27.09
Tom Brady,FA,QB,0.0,16,401,25.06,611,38.19,0.66,5235,327.19,8.57,39,2.44,12,0.75,32,2.0,43,2.69,109,6.81,2.53,20.0,1.25,3,0.19,2,0.12,654,40.88,20.0,1.25,1.0,366.4,22.9,23.75,6.19,23.76,0,0,6,1,9,1.67,1.29,25.7,366.4,22.9,23.75,6.19,23.76,0,0,6,1,9,1.67,1.29,26.33,366.4,22.9,23.75,6.19,23.76,0,0,6,1,9,1.67,1.29,25.7
Matthew Stafford,LAR,QB,1.0,16,421,26.31,663,41.44,0.63,5038,314.88,7.6,41,2.56,16,1.0,36,2.25,22,1.38,78,4.88,3.55,6.0,0.38,0,0.0,1,0.06,685,42.81,6.0,0.38,1.0,343.3,21.46,21.4,7.84,20.99,2,1,3,3,7,1.67,0.78,23.48,343.3,21.46,21.4,7.84,20.99,2,1,3,3,7,1.67,0.78,23.67,343.3,21.46,21.4,7.84,20.99,2,1,3,3,7,1.67,0.78,23.48
Michael Vick,FA,QB,0.0,13,253,19.46,423,32.54,0.6,3303,254.08,7.81,18,1.38,14,1.08,23,1.77,76,5.85,589,45.31,7.75,28.0,2.15,1,0.08,4,0.31,499,38.38,28.0,2.15,1.0,233.0,17.92,20.7,6.89,18.11,4,1,1,4,3,1.17,0.3,20.86,233.0,17.92,20.7,6.89,18.11,4,1,1,4,3,1.17,0.3,21.93,233.0,17.92,20.7,6.89,18.11,4,1,1,4,3,1.17,0.3,20.86
Matt Ryan,FA,QB,0.0,16,347,21.69,566,35.38,0.61,4177,261.06,7.38,29,1.81,12,0.75,26,1.62,37,2.31,84,5.25,2.27,11.0,0.69,2,0.12,3,0.19,603,37.69,11.0,0.69,1.0,273.4,17.09,17.7,5.58,18.2,2,3,3,6,2,1.0,0.14,19.32,273.4,17.09,17.7,5.58,18.2,2,3,3,6,2,1.0,0.14,19.66,273.4,17.09,17.7,5.58,18.2,2,3,3,6,2,1.0,0.14,19.32
Eli Manning,FA,QB,0.0,16,359,22.44,589,36.81,0.61,4933,308.31,8.38,29,1.81,16,1.0,28,1.75,35,2.19,15,0.94,0.43,2.0,0.12,1,0.06,4,0.25,624,39.0,2.0,0.12,1.0,280.8,17.55,17.8,6.24,18.18,3,2,3,5,3,1.0,0.23,19.59,280.8,17.55,17.8,6.24,18.18,3,2,3,5,3,1.0,0.23,19.65,280.8,17.55,17.8,6.24,18.18,3,2,3,5,3,1.0,0.23,19.59
Tony Romo,FA,QB,0.0,16,346,21.62,522,32.62,0.66,4184,261.5,8.02,31,1.94,10,0.62,36,2.25,22,1.38,46,2.88,2.09,4.0,0.25,1,0.06,3,0.19,544,34.0,4.0,0.25,1.0,276.0,17.25,17.5,7.15,17.27,3,2,3,4,4,1.0,0.33,18.72,276.0,17.25,17.5,7.15,17.27,3,2,3,4,4,1.0,0.33,18.85,276.0,17.25,17.5,7.15,17.27,3,2,3,4,4,1.0,0.33,18.72
Philip Rivers,FA,QB,0.0,16,366,22.88,582,36.38,0.63,4624,289.0,7.95,27,1.69,20,1.25,30,1.88,26,1.62,36,2.25,1.38,6.0,0.38,1,0.06,5,0.31,608,38.0,6.0,0.38,1.0,254.7,15.92,16.2,5.44,17.06,3,2,5,4,2,0.6,0.14,17.97,254.7,15.92,16.2,5.44,17.06,3,2,5,4,2,0.6,0.14,18.16,254.7,15.92,16.2,5.44,17.06,3,2,5,4,2,0.6,0.14,17.97
Matt Schaub,FA,QB,0.0,10,178,17.8,292,29.2,0.61,2479,247.9,8.49,15,1.5,6,0.6,16,1.6,15,1.5,9,0.9,0.6,3.0,0.3,2,0.2,1,0.1,307,30.7,3.0,0.3,0.96,158.0,15.8,17.3,5.52,16.88,3,1,2,3,1,0.67,0.11,17.01,158.0,15.8,17.3,5.52,16.88,3,1,2,3,1,0.67,0.11,17.16,158.0,15.8,17.3,5.52,16.88,3,1,2,3,1,0.67,0.11,17.01
Mark Sanchez,FA,QB,0.0,16,308,19.25,543,33.94,0.57,3474,217.12,6.4,26,1.62,18,1.12,39,2.44,37,2.31,103,6.44,2.78,13.0,0.81,6,0.38,8,0.5,580,36.25,13.0,0.81,1.0,237.2,14.82,15.1,7.52,14.66,6,2,2,4,2,0.6,0.14,16.4,237.2,14.82,15.1,7.52,14.66,6,2,2,4,2,0.6,0.14,16.8,237.2,14.82,15.1,7.52,14.66,6,2,2,4,2,0.6,0.14,16.4
Josh Freeman,FA,QB,0.0,15,346,23.07,551,36.73,0.63,3592,239.47,6.52,16,1.07,22,1.47,29,1.93,55,3.67,238,15.87,4.33,25.0,1.67,4,0.27,5,0.33,606,40.4,25.0,1.67,1.0,205.2,13.68,13.6,5.24,14.8,5,5,2,2,1,0.25,0.07,15.82,205.2,13.68,13.6,5.24,14.8,5,5,2,2,1,0.25,0.07,16.65,205.2,13.68,13.6,5.24,14.8,5,5,2,2,1,0.25,0.07,15.82
Ryan Fitzpatrick,FA,QB,0.0,16,353,22.06,569,35.56,0.62,3832,239.5,6.73,24,1.5,23,1.44,22,1.38,56,3.5,215,13.44,3.84,19.0,1.19,0,0.0,2,0.12,625,39.06,19.0,1.19,1.0,222.8,13.92,14.1,6.5,14.28,7,2,3,1,3,0.33,0.23,15.97,222.8,13.92,14.1,6.5,14.28,7,2,3,1,3,0.33,0.23,16.57,222.8,13.92,14.1,6.5,14.28,7,2,3,1,3,0.33,0.23,15.97
Ben Roethlisberger,FA,QB,0.0,15,324,21.6,513,34.2,0.63,4077,271.8,7.95,21,1.4,14,0.93,40,2.67,31,2.07,70,4.67,2.26,6.0,0.4,0,0.0,5,0.33,544,36.27,6.0,0.4,1.0,215.9,14.39,14.1,6.65,14.67,5,3,4,1,2,0.25,0.15,15.66,215.9,14.39,14.1,6.65,14.67,5,3,4,1,2,0.25,0.15,15.86,215.9,14.39,14.1,6.65,14.67,5,3,4,1,2,0.25,0.15,15.66
Carson Palmer,FA,QB,0.0,10,199,19.9,328,32.8,0.61,2753,275.3,8.39,13,1.3,16,1.6,17,1.7,16,1.6,20,2.0,1.25,5.0,0.5,1,0.1,1,0.1,344,34.4,5.0,0.5,0.96,136.2,13.62,16.15,7.3,13.56,4,0,3,2,1,0.43,0.11,15.43,136.2,13.62,16.15,7.3,13.56,4,0,3,2,1,0.43,0.11,15.68,136.2,13.62,16.15,7.3,13.56,4,0,3,2,1,0.43,0.11,15.43
Colt McCoy,FA,QB,0.0,13,265,20.38,463,35.62,0.57,2733,210.23,5.9,14,1.08,11,0.85,32,2.46,61,4.69,212,16.31,3.48,17.0,1.31,0,0.0,2,0.15,524,40.31,17.0,1.31,1.0,159.9,12.3,12.7,3.6,14.62,5,4,4,0,0,0.0,0.0,14.96,159.9,12.3,12.7,3.6,14.62,5,4,4,0,0,0.0,0.0,15.61,159.9,12.3,12.7,3.6,14.62,5,4,4,0,0,0.0,0.0,14.96
Jay Cutler,FA,QB,0.0,10,182,18.2,314,31.4,0.58,2319,231.9,7.39,13,1.3,7,0.7,23,2.3,18,1.8,55,5.5,3.06,4.0,0.4,1,0.1,3,0.3,332,33.2,4.0,0.4,0.96,136.3,13.63,15.3,6.67,13.88,3,2,3,1,1,0.25,0.11,14.93,136.3,13.63,15.3,6.67,13.88,3,2,3,1,1,0.25,0.11,15.13,136.3,13.63,15.3,6.67,13.88,3,2,3,1,1,0.25,0.11,14.93
Alex Smith,FA,QB,0.0,16,273,17.06,445,27.81,0.61,3144,196.5,7.07,17,1.06,5,0.31,44,2.75,52,3.25,179,11.19,3.44,13.0,0.81,2,0.12,2,0.12,497,31.06,13.0,0.81,1.0,211.8,13.24,13.25,5.06,14.45,5,4,3,4,0,0.33,0.0,14.6,211.8,13.24,13.25,5.06,14.45,5,4,3,4,0,0.33,0.0,15.01,211.8,13.24,13.25,5.06,14.45,5,4,3,4,0,0.33,0.0,14.6
Joe Flacco,IND,QB,1.0,16,312,19.5,542,33.88,0.58,3610,225.62,6.66,20,1.25,12,0.75,31,1.94,39,2.44,88,5.5,2.26,13.0,0.81,1,0.06,6,0.38,581,36.31,13.0,0.81,1.0,202.4,12.65,13.5,6.34,13.05,7,5,2,1,1,0.14,0.07,14.54,202.4,12.65,13.5,6.34,13.05,7,5,2,1,1,0.14,0.07,14.94,202.4,12.65,13.5,6.34,13.05,7,5,2,1,1,0.14,0.07,14.54
Andy Dalton,CAR,QB,1.0,16,300,18.75,516,32.25,0.58,3398,212.38,6.59,20,1.25,13,0.81,24,1.5,37,2.31,152,9.5,4.11,9.0,0.56,1,0.06,2,0.12,553,34.56,9.0,0.56,1.0,207.3,12.96,12.1,5.55,13.82,8,2,2,4,0,0.33,0.0,14.24,207.3,12.96,12.1,5.55,13.82,8,2,2,4,0,0.33,0.0,14.52,207.3,12.96,12.1,5.55,13.82,8,2,2,4,0,0.33,0.0,14.24
John Skelton,FA,QB,0.0,8,151,18.88,275,34.38,0.55,1913,239.12,6.96,11,1.38,14,1.75,23,2.88,28,3.5,128,16.0,4.57,11.0,1.38,0,0.0,1,0.12,303,37.88,11.0,1.38,0.88,103.4,12.92,14.95,8.37,12.44,2,2,2,2,0,0.33,0.0,13.4,103.4,12.92,14.95,8.37,12.44,2,2,2,2,0,0.33,0.0,14.09,103.4,12.92,14.95,8.37,12.44,2,2,2,2,0,0.33,0.0,13.4
Matt Hasselbeck,FA,QB,0.0,16,319,19.94,518,32.38,0.62,3571,223.19,6.89,18,1.12,14,0.88,19,1.19,20,1.25,52,3.25,2.6,4.0,0.25,0,0.0,1,0.06,538,33.62,4.0,0.25,1.0,190.2,11.89,12.9,6.35,12.26,6,4,2,4,0,0.33,0.0,13.84,190.2,11.89,12.9,6.35,12.26,6,4,2,4,0,0.33,0.0,13.97,190.2,11.89,12.9,6.35,12.26,6,4,2,4,0,0.33,0.0,13.84
Rex Grossman,FA,QB,0.0,13,265,20.38,458,35.23,0.58,3151,242.38,6.88,16,1.23,20,1.54,25,1.92,20,1.54,11,0.85,0.55,2.0,0.15,1,0.08,5,0.38,478,36.77,2.0,0.15,1.0,147.1,11.32,12.2,7.14,11.33,6,2,3,1,1,0.18,0.08,13.45,147.1,11.32,12.2,7.14,11.33,6,2,3,1,1,0.18,0.08,13.52,147.1,11.32,12.2,7.14,11.33,6,2,3,1,1,0.18,0.08,13.45
Matt Moore,FA,QB,0.0,13,210,16.15,347,26.69,0.61,2497,192.08,7.2,16,1.23,9,0.69,36,2.77,32,2.46,65,5.0,2.03,5.0,0.38,2,0.15,6,0.46,379,29.15,5.0,0.38,1.0,152.5,11.73,12.6,6.52,12.02,6,3,0,4,0,0.44,0.0,13.29,152.5,11.73,12.6,6.52,12.02,6,3,0,4,0,0.44,0.0,13.48,152.5,11.73,12.6,6.52,12.02,6,3,0,4,0,0.44,0.0,13.29
Tarvaris Jackson,FA,QB,0.0,15,271,18.07,450,30.0,0.6,3091,206.07,6.87,14,0.93,13,0.87,42,2.8,40,2.67,108,7.2,2.7,7.0,0.47,1,0.07,5,0.33,490,32.67,7.0,0.47,1.0,160.5,10.7,11.1,4.09,12.32,11,3,0,0,1,0.07,0.07,12.83,160.5,10.7,11.1,4.09,12.32,11,3,0,0,1,0.07,0.07,13.07,160.5,10.7,11.1,4.09,12.32,11,3,0,0,1,0.07,0.07,12.83
Christian Ponder,FA,QB,0.0,11,158,14.36,291,26.45,0.54,1853,168.45,6.37,13,1.18,13,1.18,30,2.73,28,2.55,219,19.91,7.82,13.0,1.18,0,0.0,2,0.18,319,29.0,13.0,1.18,1.0,117.9,10.72,12.3,6.89,10.83,5,3,2,0,1,0.1,0.1,12.43,117.9,10.72,12.3,6.89,10.83,5,3,2,0,1,0.1,0.1,13.02,117.9,10.72,12.3,6.89,10.83,5,3,2,0,1,0.1,0.1,12.43
Kevin Kolb,FA,QB,0.0,9,146,16.22,253,28.11,0.58,1955,217.22,7.73,9,1.0,8,0.89,30,3.33,17,1.89,65,7.22,3.82,6.0,0.67,0,0.0,3,0.33,270,30.0,6.0,0.67,0.93,98.8,10.98,11.7,6.66,11.19,4,1,2,2,0,0.29,0.0,11.6,98.8,10.98,11.7,6.66,11.19,4,1,2,2,0,0.29,0.0,11.93,98.8,10.98,11.7,6.66,11.19,4,1,2,2,0,0.29,0.0,11.6
Jason Campbell,FA,QB,0.0,6,100,16.67,165,27.5,0.61,1170,195.0,7.09,6,1.0,4,0.67,5,0.83,18,3.0,60,10.0,3.33,7.0,1.17,2,0.33,1,0.17,183,30.5,7.0,1.17,0.78,78.8,13.13,14.0,8.08,12.75,2,2,1,0,1,0.2,0.2,11.18,78.8,13.13,14.0,8.08,12.75,2,2,1,0,1,0.2,0.2,11.76,78.8,13.13,14.0,8.08,12.75,2,2,1,0,1,0.2,0.2,11.18
Sam Bradford,FA,QB,0.0,10,191,19.1,357,35.7,0.54,2164,216.4,6.06,6,0.6,6,0.6,36,3.6,18,1.8,26,2.6,1.44,3.0,0.3,0,0.0,7,0.7,375,37.5,3.0,0.3,0.96,87.0,8.7,8.55,3.59,10.35,9,0,1,0,0,0.0,0.0,10.91,87.0,8.7,8.55,3.59,10.35,9,0,1,0,0,0.0,0.0,11.06,87.0,8.7,8.55,3.59,10.35,9,0,1,0,0,0.0,0.0,10.91
Matt Cassel,FA,QB,0.0,9,160,17.78,269,29.89,0.59,1713,190.33,6.37,10,1.11,9,1.0,22,2.44,25,2.78,99,11.0,3.96,5.0,0.56,0,0.0,2,0.22,294,32.67,5.0,0.56,0.93,95.9,10.66,9.8,8.69,10.16,5,2,1,0,1,0.12,0.12,10.74,95.9,10.66,9.8,8.69,10.16,5,2,1,0,1,0.12,0.12,11.02,95.9,10.66,9.8,8.69,10.16,5,2,1,0,1,0.12,0.12,10.74
Kyle Orton,FA,QB,0.0,9,150,16.67,252,28.0,0.6,1758,195.33,6.98,9,1.0,9,1.0,10,1.11,11,1.22,13,1.44,1.18,2.0,0.22,0,0.0,2,0.22,263,29.22,2.0,0.22,0.93,85.7,9.52,11.5,6.24,9.86,5,3,1,0,0,0.0,0.0,10.63,85.7,9.52,11.5,6.24,9.86,5,3,1,0,0,0.0,0.0,10.74,85.7,9.52,11.5,6.24,9.86,5,3,1,0,0,0.0,0.0,10.63
Donovan McNabb,FA,QB,0.0,6,94,15.67,156,26.0,0.6,1026,171.0,6.58,4,0.67,2,0.33,16,2.67,14,2.33,59,9.83,4.21,5.0,0.83,1,0.17,0,0.0,170,28.33,5.0,0.83,0.78,65.0,10.83,11.75,3.28,13.18,3,3,0,0,0,0.0,0.0,10.03,65.0,10.83,11.75,3.28,13.18,3,3,0,0,0,0.0,0.0,10.44,65.0,10.83,11.75,3.28,13.18,3,3,0,0,0,0.0,0.0,10.03
Chad Henne,FA,QB,0.0,4,64,16.0,112,28.0,0.57,868,217.0,7.75,4,1.0,4,1.0,11,2.75,15,3.75,112,28.0,7.47,7.0,1.75,1,0.25,0,0.0,127,31.75,7.0,1.75,0.65,59.9,14.98,13.1,14.64,12.53,2,0,1,0,1,0.33,0.33,9.23,59.9,14.98,13.1,14.64,12.53,2,0,1,0,1,0.33,0.33,10.11,59.9,14.98,13.1,14.64,12.53,2,0,1,0,1,0.33,0.33,9.23
John Beck,FA,QB,0.0,4,80,20.0,132,33.0,0.61,858,214.5,6.5,2,0.5,4,1.0,16,4.0,10,2.5,43,10.75,4.3,3.0,0.75,2,0.5,1,0.25,142,35.5,3.0,0.75,0.65,50.7,12.68,13.6,5.51,13.54,1,1,1,1,0,0.33,0.0,9.6,50.7,12.68,13.6,5.51,13.54,1,1,1,1,0,0.33,0.0,9.97,50.7,12.68,13.6,5.51,13.54,1,1,1,1,0,0.33,0.0,9.6
Blaine Gabbert,FA,QB,0.0,15,210,14.0,413,27.53,0.51,2214,147.6,5.36,12,0.8,11,0.73,40,2.67,48,3.2,98,6.53,2.04,8.0,0.53,0,0.0,5,0.33,461,30.73,8.0,0.53,1.0,114.3,7.62,7.5,3.8,8.94,13,1,1,0,0,0.0,0.0,9.65,114.3,7.62,7.5,3.8,8.94,13,1,1,0,0,0.0,0.0,9.91,114.3,7.62,7.5,3.8,8.94,13,1,1,0,0,0.0,0.0,9.65
Curtis Painter,FA,QB,0.0,9,132,14.67,243,27.0,0.54,1541,171.22,6.34,6,0.67,9,1.0,16,1.78,17,1.89,107,11.89,6.29,7.0,0.78,0,0.0,3,0.33,260,28.89,7.0,0.78,0.93,72.3,8.03,9.0,7.71,7.89,6,1,1,1,0,0.12,0.0,9.1,72.3,8.03,9.0,7.71,7.89,6,1,1,1,0,0.12,0.0,9.48,72.3,8.03,9.0,7.71,7.89,6,1,1,1,0,0.12,0.0,9.1
Kellen Clemens,FA,QB,0.0,3,48,16.0,91,30.33,0.53,546,182.0,6.0,2,0.67,1,0.33,9,3.0,6,2.0,37,12.33,6.17,1.0,0.33,1,0.33,0,0.0,97,32.33,1.0,0.33,0.56,37.5,12.5,14.1,7.23,12.48,1,1,0,1,0,0.5,0.0,8.06,37.5,12.5,14.1,7.23,12.48,1,1,0,1,0,0.5,0.0,8.23,37.5,12.5,14.1,7.23,12.48,1,1,0,1,0,0.5,0.0,8.06
Dan Orlovsky,FA,QB,0.0,8,122,15.25,193,24.12,0.63,1201,150.12,6.22,6,0.75,4,0.5,14,1.75,6,0.75,5,0.62,0.83,1.0,0.12,0,0.0,3,0.38,199,24.88,1.0,0.12,0.88,58.6,7.32,7.2,6.63,7.47,6,1,0,1,0,0.14,0.0,7.56,58.6,7.32,7.2,6.63,7.47,6,1,0,1,0,0.14,0.0,7.62,58.6,7.32,7.2,6.63,7.47,6,1,0,1,0,0.14,0.0,7.56
Jake Locker,FA,QB,0.0,5,34,6.8,66,13.2,0.52,542,108.4,8.21,4,0.8,0,0.0,5,1.0,8,1.6,56,11.2,7.0,4.0,0.8,1,0.2,0,0.0,74,14.8,4.0,0.8,0.72,49.3,9.86,9.2,10.43,8.98,3,1,0,0,1,0.25,0.25,6.78,49.3,9.86,9.2,10.43,8.98,3,1,0,0,1,0.25,0.25,7.18,49.3,9.86,9.2,10.43,8.98,3,1,0,0,1,0.25,0.25,6.78
Vince Young,FA,QB,0.0,5,66,13.2,114,22.8,0.58,866,173.2,7.6,4,0.8,9,1.8,8,1.6,18,3.6,79,15.8,4.39,4.0,0.8,0,0.0,0,0.0,132,26.4,4.0,0.8,0.72,40.5,8.1,7.5,9.74,7.51,3,1,0,1,0,0.25,0.0,6.46,40.5,8.1,7.5,9.74,7.51,3,1,0,1,0,0.25,0.0,6.86,40.5,8.1,7.5,9.74,7.51,3,1,0,1,0,0.25,0.0,6.46
Josh McCown,FA,QB,0.0,3,35,11.67,55,18.33,0.64,414,138.0,7.53,2,0.67,4,1.33,7,2.33,12,4.0,68,22.67,5.67,5.0,1.67,0,0.0,0,0.0,67,22.33,5.0,1.67,0.56,25.4,8.47,11.4,8.87,8.03,2,0,1,0,0,0.0,0.0,5.58,25.4,8.47,11.4,8.87,8.03,2,0,1,0,0,0.0,0.0,6.42,25.4,8.47,11.4,8.87,8.03,2,0,1,0,0,0.0,0.0,5.58
T.J. Yates,FA,QB,0.0,6,82,13.67,134,22.33,0.61,949,158.17,7.08,3,0.5,3,0.5,15,2.5,14,2.33,57,9.5,4.07,3.0,0.5,0,0.0,3,0.5,148,24.67,3.0,0.5,0.78,43.7,7.28,4.6,6.82,7.38,5,0,0,1,0,0.2,0.0,5.89,43.7,7.28,4.6,6.82,7.38,5,0,0,1,0,0.2,0.0,6.14,43.7,7.28,4.6,6.82,7.38,5,0,0,1,0,0.2,0.0,5.89
Kerry Collins,FA,QB,0.0,3,48,16.0,98,32.67,0.49,481,160.33,4.91,2,0.67,1,0.33,5,1.67,2,0.67,-1,-0.33,-0.5,0.0,0.0,0,0.0,3,1.0,100,33.33,0.0,0.0,0.56,19.1,6.37,7.5,2.32,8.45,3,0,0,0,0,0.0,0.0,5.42,19.1,6.37,7.5,2.32,8.45,3,0,0,0,0,0.0,0.0,5.42,19.1,6.37,7.5,2.32,8.45,3,0,0,0,0,0.0,0.0,5.42
