Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Josh Allen,BUF,QB,1.0,16.96,382.13,22.54,583.85,34.43,0.65,4327.79,255.23,7.42,31.48,1.86,16.4,0.97,26.49,1.56,115.42,6.8,605.56,35.68,5.2,41.92,2.47,11.87,0.7,4.23,0.25,699.27,41.23,41.92,2.47,1.0,411.71,24.28,24.16,7.73,23.85,1.34,2.2,0.52,4.5,8.39,3.38,1.01,26.42,411.71,24.28,24.16,7.73,23.85,1.34,2.2,0.52,4.5,8.39,3.38,1.01,27.65,411.71,24.28,24.16,7.73,23.85,1.34,2.2,0.52,4.5,8.39,3.38,1.01,26.42,5,17.75,301.7,5.0
Jalen Hurts,PHI,QB,1.0,16.23,321.26,19.72,492.98,30.27,0.65,3638.76,223.95,7.4,21.39,1.31,11.76,0.71,34.6,2.13,153.49,9.48,650.92,40.48,4.28,64.88,4.0,13.54,0.83,3.85,0.23,646.47,39.74,64.88,4.0,1.0,359.68,22.18,23.76,7.8,21.82,2.82,0.24,1.29,3.97,7.92,3.14,1.09,25.21,359.68,22.18,23.76,7.8,21.82,2.82,0.24,1.29,3.97,7.92,3.14,1.09,27.21,359.68,22.18,23.76,7.8,21.82,2.82,0.24,1.29,3.97,7.92,3.14,1.09,25.21,4,21.95,373.1,2.0
Patrick Mahomes II,KC,QB,1.0,16.31,412.39,25.29,615.22,37.72,0.67,4531.31,277.48,7.35,31.87,1.95,13.09,0.81,26.66,1.64,70.15,4.32,377.38,23.17,5.41,26.07,1.6,1.26,0.08,2.32,0.15,685.37,42.04,26.07,1.6,1.0,338.47,20.69,20.05,6.46,21.26,1.76,2.71,4.14,3.51,4.18,1.57,0.43,22.29,338.47,20.69,20.05,6.46,21.26,1.76,2.71,4.14,3.51,4.18,1.57,0.43,23.09,338.47,20.69,20.05,6.46,21.26,1.76,2.71,4.14,3.51,4.18,1.57,0.43,22.29,5,13.17,223.89,14.0
Lamar Jackson,BAL,QB,1.0,14.58,272.81,18.64,414.15,28.4,0.65,3209.59,218.47,7.68,21.57,1.47,7.67,0.54,34.07,2.35,138.19,9.51,808.89,56.22,5.91,43.34,2.96,4.29,0.29,4.64,0.31,552.34,37.91,43.34,2.96,1.0,306.52,20.98,19.98,9.62,19.58,3.33,2.23,2.2,2.8,4.02,0.87,0.37,20.98,306.52,20.98,19.98,9.62,19.58,3.33,2.23,2.2,2.8,4.02,0.87,0.37,22.46,306.52,20.98,19.98,9.62,19.58,3.33,2.23,2.2,2.8,4.02,0.87,0.37,20.98,5,16.11,273.88,6.0
Justin Herbert,LAC,QB,1.0,14.46,359.62,24.59,542.61,37.19,0.66,3761.91,257.56,6.92,23.44,1.61,8.65,0.59,31.53,2.19,53.69,3.76,215.58,15.3,4.01,17.59,1.22,2.34,0.17,1.49,0.1,596.31,40.94,17.59,1.22,1.0,271.65,18.76,20.38,7.91,18.36,4.07,1.52,1.74,3.38,3.74,1.06,0.38,21.06,271.65,18.76,20.38,7.91,18.36,4.07,1.52,1.74,3.38,3.74,1.06,0.38,21.67,271.65,18.76,20.38,7.91,18.36,4.07,1.52,1.74,3.38,3.74,1.06,0.38,21.06,4,14.48,246.18,11.0
Dak Prescott,DAL,QB,1.0,15.2,363.09,23.92,527.81,34.88,0.68,3996.69,264.3,7.56,31.83,2.08,10.38,0.73,32.29,2.09,50.39,3.36,211.89,14.14,4.21,18.62,1.26,1.69,0.12,2.19,0.15,578.2,38.23,18.62,1.26,0.99,307.37,20.26,19.69,8.67,19.34,3.12,2.38,2.54,1.55,5.61,0.91,0.62,20.71,307.37,20.26,19.69,8.67,19.34,3.12,2.38,2.54,1.55,5.61,0.91,0.62,21.34,307.37,20.26,19.69,8.67,19.34,3.12,2.38,2.54,1.55,5.61,0.91,0.62,20.71,5,14.84,252.2,8.0
Kyler Murray,ARI,QB,1.0,9.65,219.75,22.61,330.46,34.12,0.66,2220.61,227.93,6.68,13.0,1.31,6.26,0.64,21.36,2.23,57.51,5.83,327.15,33.13,5.67,19.41,1.98,3.51,0.36,0.65,0.05,387.97,39.95,19.41,1.98,0.93,190.35,19.45,19.8,5.52,21.05,1.24,1.33,2.21,2.81,2.06,1.02,0.26,20.13,190.35,19.45,19.8,5.52,21.05,1.24,1.33,2.21,2.81,2.06,1.02,0.26,21.11,190.35,19.45,19.8,5.52,21.05,1.24,1.33,2.21,2.81,2.06,1.02,0.26,20.13,5,11.17,189.94,25.0
Justin Fields,PIT,QB,2.0,13.41,211.05,15.83,346.41,25.99,0.61,2408.97,180.64,6.95,15.33,1.14,9.62,0.71,46.0,3.42,127.9,9.47,757.31,55.53,5.83,46.49,3.42,4.82,0.35,3.59,0.28,474.31,35.45,46.49,3.42,1.0,246.03,18.21,16.56,8.97,17.2,5.05,1.64,0.72,1.67,4.33,0.85,0.5,18.49,246.03,18.21,16.56,8.97,17.2,5.05,1.64,0.72,1.67,4.33,0.85,0.5,20.2,246.03,18.21,16.56,8.97,17.2,5.05,1.64,0.72,1.67,4.33,0.85,0.5,18.49,3,14.37,244.3,13.0
C.J. Stroud,HOU,QB,1.0,15.0,319.0,21.27,499.0,33.27,0.64,4108.0,273.87,8.23,23.0,1.53,5.0,0.33,38.0,2.53,39.0,2.6,167.0,11.13,4.28,17.0,1.13,3.0,0.2,4.0,0.27,538.0,35.87,17.0,1.13,1.0,280.1,18.67,18.3,8.96,17.67,4.0,3.0,1.0,5.0,2.0,0.88,0.15,19.09,280.1,18.67,18.3,8.96,17.67,4.0,3.0,1.0,5.0,2.0,0.88,0.15,19.65,280.1,18.67,18.3,8.96,17.67,4.0,3.0,1.0,5.0,2.0,0.88,0.15,19.09,1,25.82,438.96,1.0
Russell Wilson,PIT,QB,1.0,14.94,295.45,19.76,455.61,30.47,0.65,3231.06,216.17,7.09,23.99,1.6,8.74,0.58,46.36,3.1,70.32,4.69,316.45,21.1,4.53,31.23,2.08,2.86,0.19,3.83,0.25,525.93,35.16,31.23,2.08,1.0,260.43,17.42,16.89,5.3,18.96,2.85,4.19,4.26,1.89,1.75,0.34,0.14,18.45,260.43,17.42,16.89,5.3,18.96,2.85,4.19,4.26,1.65,2.0,0.34,0.17,19.53,260.43,17.42,16.89,5.3,18.96,2.85,4.19,4.26,1.89,1.75,0.34,0.14,18.45,5,14.62,248.48,9.0
