Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Lamar Jackson,BAL,QB,1.0,15.29,217.57,14.39,335.0,22.13,0.64,2576.71,170.35,7.59,27.43,1.82,5.14,0.34,21.0,1.38,167.71,11.0,1060.0,69.84,6.24,64.29,4.23,6.43,0.42,2.57,0.16,502.71,33.14,64.29,4.23,1.0,346.24,22.89,23.5,7.1,23.28,2.57,1.86,0.57,2.86,7.43,10.02,1.45,26.0,346.24,22.89,23.5,7.1,23.28,2.57,1.86,0.57,2.86,7.43,10.02,1.45,28.12,346.24,22.89,23.5,7.1,23.28,2.57,1.86,0.57,2.86,7.43,10.02,1.45,26.0,2,23.43,398.33,1.0
Deshaun Watson,CLE,QB,2.0,14.44,314.85,21.61,467.72,32.23,0.67,3711.44,256.25,7.96,25.28,1.8,10.82,0.77,46.05,3.15,81.64,5.62,433.62,30.42,5.43,28.49,1.97,5.97,0.41,2.79,0.19,549.36,37.86,28.49,1.97,0.98,315.24,21.98,20.66,9.72,20.38,3.69,0.26,3.18,1.13,6.18,1.15,0.82,21.71,315.24,21.98,20.66,9.72,20.38,3.69,0.26,3.18,1.38,5.92,1.15,0.79,22.66,315.24,21.98,20.66,9.72,20.38,3.69,0.26,3.18,1.13,6.18,1.15,0.82,21.71,3,19.88,338.0,8.0
Dak Prescott,DAL,QB,1.0,16.0,371.59,23.22,567.18,35.45,0.66,4479.38,279.96,7.86,27.13,1.7,10.44,0.65,32.38,2.03,58.41,3.65,292.38,18.27,5.1,21.56,1.35,4.08,0.26,3.13,0.19,625.59,39.1,21.56,1.35,1.0,323.67,20.23,20.36,8.0,19.73,3.46,1.59,2.64,3.28,5.03,1.25,0.48,21.61,323.67,20.23,20.36,8.0,19.73,3.46,1.59,2.64,3.28,5.03,1.25,0.48,22.29,323.67,20.23,20.36,8.0,19.73,3.46,1.59,2.64,3.28,5.03,1.25,0.48,21.61,3,21.69,368.67,5.0
Patrick Mahomes II,KC,QB,2.0,13.18,304.95,23.0,462.56,35.04,0.66,3920.03,295.38,8.43,29.49,1.99,6.38,0.53,17.77,1.4,43.67,3.65,210.51,15.37,4.56,14.33,1.08,1.79,0.12,1.79,0.12,506.23,38.69,14.33,1.08,0.93,295.11,21.11,20.43,6.27,20.19,1.38,1.54,3.33,1.15,5.77,1.25,0.79,21.07,295.11,21.11,20.43,6.27,20.19,1.38,1.54,3.33,1.15,5.77,1.25,0.79,21.6,295.11,21.11,20.43,6.27,20.19,1.38,1.54,3.33,1.15,5.77,1.25,0.79,21.07,3,21.93,372.86,3.0
Drew Brees,FA,QB,0.0,12.54,313.05,25.08,422.67,33.82,0.74,3377.72,269.62,7.97,27.87,2.26,4.67,0.37,14.1,1.12,17.1,1.27,4.31,0.22,-0.06,4.82,0.35,1.87,0.14,0.26,0.02,439.77,35.09,4.82,0.35,1.0,251.48,20.21,20.29,9.74,18.87,3.26,1.28,0.72,3.82,3.46,1.94,0.42,21.12,251.48,20.21,20.29,9.74,18.87,3.51,1.03,0.72,3.82,3.46,1.94,0.42,21.29,251.48,20.21,20.29,9.74,18.87,3.26,1.28,0.72,3.82,3.46,1.94,0.42,21.12,3,16.41,278.89,14.0
Carson Wentz,KC,QB,1.0,14.41,347.44,24.14,537.05,37.14,0.65,3715.36,259.48,7.0,26.08,1.83,7.0,0.5,34.54,2.42,55.03,3.78,210.28,14.26,3.69,18.44,1.26,0.64,0.04,6.33,0.45,592.08,40.92,18.44,1.26,1.0,259.57,18.04,19.61,5.57,19.28,3.33,2.13,3.54,4.15,1.26,0.73,0.13,20.54,259.57,18.04,19.61,5.57,19.28,3.33,2.13,3.54,4.15,1.26,0.73,0.13,21.17,259.57,18.04,19.61,5.57,19.28,3.33,2.13,3.54,4.15,1.26,0.73,0.13,20.54,3,15.76,267.96,16.0
Jameis Winston,CLE,QB,1.0,14.41,335.08,23.14,543.54,37.37,0.62,4401.56,302.07,8.07,27.97,1.91,23.95,1.62,40.44,2.77,53.77,3.77,246.15,17.63,4.61,17.13,1.22,1.0,0.07,4.69,0.32,597.31,41.14,17.13,1.22,1.0,285.77,19.59,19.01,8.26,18.94,3.1,2.74,3.08,1.36,4.13,0.62,0.39,20.46,285.77,19.59,19.01,8.26,18.94,3.1,2.74,3.08,1.36,4.13,0.62,0.39,21.07,285.77,19.59,19.01,8.26,18.94,3.1,2.74,3.08,1.36,4.13,0.62,0.39,20.46,3,10.28,174.68,30.0
Russell Wilson,PIT,QB,1.0,16.0,325.15,20.32,496.97,31.06,0.65,3927.23,245.46,7.92,32.33,2.02,6.13,0.38,48.26,3.02,75.0,4.69,375.74,23.49,4.99,20.49,1.28,2.23,0.14,2.1,0.13,571.97,35.75,20.49,1.28,1.0,325.97,20.37,18.76,8.46,19.61,3.64,2.64,3.85,1.97,3.9,0.67,0.35,20.03,325.97,20.37,18.76,8.46,19.61,3.64,2.64,3.85,1.97,3.9,0.67,0.35,20.67,325.97,20.37,18.76,8.46,19.61,3.64,2.64,3.85,1.97,3.9,0.67,0.35,20.03,3,23.0,391.02,2.0
Matt Ryan,FA,QB,0.0,15.36,404.82,26.39,605.03,39.46,0.67,4545.38,296.01,7.52,27.69,1.8,12.0,0.79,44.0,2.88,33.54,2.19,140.95,9.2,4.2,11.38,0.74,1.41,0.09,4.79,0.31,638.56,41.64,11.38,0.74,1.0,294.55,19.16,18.76,7.33,19.08,2.46,3.33,4.21,2.54,2.82,0.58,0.25,20.24,294.55,19.16,18.76,7.33,19.08,2.46,3.33,4.21,2.54,2.82,0.58,0.25,20.61,294.55,19.16,18.76,7.33,19.08,2.46,3.33,4.21,2.54,2.82,0.58,0.25,20.24,3,18.0,306.03,13.0
Kyler Murray,ARI,QB,1.0,16.0,349.0,21.81,542.0,33.88,0.64,3722.0,232.62,6.87,20.0,1.25,12.0,0.75,48.0,3.0,93.0,5.81,544.0,34.0,5.85,27.0,1.69,4.0,0.25,2.0,0.12,635.0,39.69,27.0,1.69,1.0,297.3,18.58,17.35,6.58,18.99,5.0,4.0,1.0,2.0,4.0,0.6,0.33,19.6,297.3,18.58,17.35,6.58,18.99,5.0,4.0,1.0,2.0,4.0,0.6,0.33,20.44,297.3,18.58,17.35,6.58,18.99,5.0,4.0,1.0,2.0,4.0,0.6,0.33,19.6,1,21.03,357.54,6.0
