Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Devonta Freeman,FA,RB,0.0,15,265,17.67,1056,70.4,3.98,68.0,4.53,39,17.67,5,0.33,11,0.73,73,4.87,97,6.47,578,38.53,7.92,21.0,1.4,3,0.2,338,22.53,362,24.13,89.0,5.93,2,0.13,0.01,1.0,243.4,16.23,13.4,10.18,14.67,3,0,1,5,6,2.75,0.67,16.29,279.9,18.66,16.1,10.76,16.86,3,0,0,5,7,4.0,0.88,21.79,316.4,21.09,19.1,11.49,19.31,2,1,0,4,8,4.0,1.14,21.2
Mark Ingram II,FA,RB,0.0,12,166,13.83,769,64.08,4.63,44.0,3.67,70,21.42,2,0.17,6,0.5,50,4.17,60,5.0,405,33.75,8.1,22.0,1.83,0,0.0,216,18.0,226,18.83,66.0,5.5,1,0.08,0.0,1.0,153.4,12.78,12.05,3.98,14.61,0,0,5,3,4,1.4,0.5,14.4,178.4,14.87,14.85,3.98,17.23,0,1,3,4,4,2.0,0.5,19.64,203.4,16.95,17.35,4.17,19.99,0,1,2,3,6,3.0,1.0,19.82
Matt Forte,FA,RB,0.0,13,218,16.77,898,69.08,4.12,46.0,3.54,27,14.08,4,0.31,4,0.31,44,3.38,58,4.46,389,29.92,8.84,17.0,1.31,3,0.23,262,20.15,276,21.23,63.0,4.85,1,0.08,0.0,1.0,170.7,13.13,13.5,5.35,13.94,0,3,1,3,6,2.25,0.86,15.69,192.7,14.82,15.5,5.97,15.52,1,1,2,3,6,2.25,0.86,19.55,214.7,16.52,17.5,6.66,17.33,1,1,3,2,6,1.6,0.86,18.32
Todd Gurley II,FA,RB,0.0,13,229,17.62,1106,85.08,4.83,45.0,3.46,71,29.23,4,0.31,10,0.77,21,1.62,26,2.0,188,14.46,8.95,8.0,0.62,0,0.0,250,19.23,255,19.62,53.0,4.08,1,0.08,0.0,1.0,187.4,14.42,15.0,8.24,13.74,3,0,0,3,7,3.33,1.17,16.69,197.9,15.22,15.9,8.63,14.54,3,0,1,4,5,2.25,0.62,18.58,208.4,16.03,16.0,9.05,15.57,3,0,1,5,4,2.25,0.44,16.82
Adrian Peterson,FA,RB,0.0,16,327,20.44,1485,92.81,4.54,71.0,4.44,80,28.81,4,0.25,11,0.69,30,1.88,36,2.25,222,13.88,7.4,8.0,0.5,0,0.0,357,22.31,363,22.69,79.0,4.94,3,0.19,0.01,1.0,230.7,14.42,12.7,8.24,13.75,1,3,1,4,7,2.2,0.78,15.35,245.7,15.36,13.2,8.14,14.88,2,2,1,4,7,2.2,0.78,18.48,260.7,16.29,13.9,8.08,16.28,3,1,2,3,7,1.67,0.78,16.59
Jamaal Charles,FA,RB,0.0,5,71,14.2,364,72.8,5.13,21.0,4.2,34,19.8,1,0.2,4,0.8,21,4.2,30,6.0,177,35.4,8.43,10.0,2.0,1,0.2,92,18.4,101,20.2,31.0,6.2,2,0.4,0.02,0.72,80.1,16.02,14.7,6.44,16.24,0,0,1,2,2,4.0,0.67,12.59,90.6,18.12,17.5,7.07,18.19,0,0,1,0,4,4.0,4.0,18.2,101.1,20.22,20.5,7.77,20.41,0,1,0,0,4,4.0,4.0,16.6
Le'Veon Bell,FA,RB,0.0,6,113,18.83,556,92.67,4.92,27.0,4.5,42,24.67,6,1.0,3,0.5,24,4.0,26,4.33,136,22.67,5.67,4.0,0.67,0,0.0,137,22.83,139,23.17,31.0,5.17,0,0.0,0.0,0.78,87.2,14.53,16.2,6.18,14.89,0,1,1,1,3,2.0,1.0,13.58,99.2,16.53,18.2,7.4,16.41,0,1,1,1,3,2.0,1.0,17.26,111.2,18.53,20.2,8.68,18.2,0,2,0,1,3,2.0,1.0,15.87
LeSean McCoy,FA,RB,0.0,12,203,16.92,895,74.58,4.41,42.0,3.5,48,21.83,3,0.25,3,0.25,32,2.67,50,4.17,292,24.33,9.12,12.0,1.0,2,0.17,235,19.58,253,21.08,54.0,4.5,2,0.17,0.01,1.0,146.7,12.22,11.4,4.27,13.73,1,0,2,5,4,3.0,0.5,14.75,162.7,13.56,13.0,4.8,14.99,1,0,4,4,3,1.4,0.33,17.23,178.7,14.89,14.75,5.42,16.45,1,1,3,4,3,1.4,0.33,16.27
Dion Lewis,FA,RB,0.0,7,49,7.0,234,33.43,4.78,15.0,2.14,13,11.0,0,0.0,2,0.29,36,5.14,50,7.14,388,55.43,10.78,16.0,2.29,2,0.29,85,12.14,99,14.14,31.0,4.43,1,0.14,0.01,0.84,84.2,12.03,12.7,5.52,12.68,1,1,0,2,3,2.5,0.75,11.87,102.2,14.6,15.2,6.2,15.15,1,1,0,2,3,2.5,0.75,15.74,120.2,17.17,17.7,6.92,17.84,1,1,0,2,3,2.5,0.75,15.27
Jonathan Stewart,FA,RB,0.0,13,242,18.62,989,76.08,4.09,42.0,3.23,44,18.54,2,0.15,6,0.46,16,1.23,21,1.62,99,7.62,6.19,5.0,0.38,1,0.08,258,19.85,263,20.23,47.0,3.62,2,0.15,0.01,1.0,146.8,11.29,12.3,5.16,12.1,1,3,2,3,4,1.17,0.44,13.43,154.8,11.91,12.5,5.19,12.92,2,2,2,4,3,1.17,0.3,15.49,162.8,12.52,12.5,5.3,13.91,3,1,3,3,3,0.86,0.3,13.86
DeAngelo Williams,FA,RB,0.0,16,200,12.5,907,56.69,4.54,51.0,3.19,55,16.94,3,0.19,11,0.69,40,2.5,47,2.94,367,22.94,9.18,15.0,0.94,0,0.0,240,15.0,247,15.44,66.0,4.12,2,0.12,0.01,1.0,191.4,11.96,11.3,11.2,10.56,6,1,0,4,5,1.29,0.45,12.02,211.4,13.21,13.35,11.9,11.65,6,1,0,3,6,1.29,0.6,15.48,231.4,14.46,14.6,12.66,12.92,6,1,0,3,6,1.29,0.6,14.42
Doug Martin,FA,RB,0.0,16,288,18.0,1402,87.62,4.87,61.0,3.81,84,27.5,8,0.5,6,0.38,33,2.06,44,2.75,271,16.94,8.21,10.0,0.62,1,0.06,321,20.06,332,20.75,71.0,4.44,5,0.31,0.02,1.0,199.3,12.46,10.05,8.05,11.94,2,1,6,3,4,0.78,0.33,12.12,215.8,13.49,11.3,8.31,13.01,3,2,3,4,4,1.0,0.33,15.43,232.3,14.52,12.55,8.66,14.26,3,3,2,4,4,1.0,0.33,14.21
Arian Foster,FA,RB,0.0,4,63,15.75,163,40.75,2.59,11.0,2.75,16,9.75,0,0.0,1,0.25,22,5.5,28,7.0,227,56.75,10.32,13.0,3.25,2,0.5,85,21.25,91,22.75,24.0,6.0,1,0.25,0.01,0.65,55.0,13.75,14.5,9.68,12.59,1,0,0,1,2,3.0,1.0,10.43,66.0,16.5,18.0,10.05,15.17,1,0,0,1,2,3.0,1.0,15.01,77.0,19.25,21.5,10.55,18.0,1,0,0,0,3,3.0,3.0,14.3
Chris Ivory,FA,RB,0.0,15,247,16.47,1070,71.33,4.33,50.0,3.33,58,23.27,4,0.27,7,0.47,30,2.0,37,2.47,217,14.47,7.23,9.0,0.6,1,0.07,277,18.47,284,18.93,59.0,3.93,2,0.13,0.01,1.0,172.7,11.51,10.7,7.46,11.25,5,1,1,3,5,1.14,0.5,12.36,187.7,12.51,11.2,7.33,12.45,4,3,1,2,5,0.88,0.5,14.81,202.7,13.51,11.7,7.27,13.87,3,3,2,3,4,0.88,0.36,13.47
Darren McFadden,FA,RB,0.0,16,239,14.94,1089,68.06,4.56,52.0,3.25,50,18.69,4,0.25,3,0.19,40,2.5,53,3.31,328,20.5,8.2,12.0,0.75,0,0.0,279,17.44,292,18.25,64.0,4.0,3,0.19,0.01,1.0,155.7,9.73,9.65,4.71,10.67,3,1,5,6,1,0.78,0.07,10.87,175.7,10.98,10.7,4.97,12.04,3,2,4,6,1,0.78,0.07,13.84,195.7,12.23,11.35,5.5,13.46,2,4,4,5,1,0.6,0.07,12.52
Latavius Murray,FA,RB,0.0,16,266,16.62,1066,66.62,4.01,49.0,3.06,54,20.06,6,0.38,6,0.38,41,2.56,53,3.31,232,14.5,5.66,9.0,0.56,0,0.0,307,19.19,319,19.94,58.0,3.62,1,0.06,0.0,1.0,163.8,10.24,8.1,5.08,11.01,1,3,6,3,3,0.6,0.23,10.62,184.3,11.52,9.5,5.22,12.47,1,5,4,3,3,0.6,0.23,13.57,204.8,12.8,11.15,5.55,14.05,1,7,2,3,3,0.6,0.23,13.05
T.J. Yeldon,FA,RB,0.0,12,182,15.17,740,61.67,4.07,25.0,2.08,45,19.0,2,0.17,2,0.17,36,3.0,46,3.83,279,23.25,7.75,14.0,1.17,1,0.08,218,18.17,228,19.0,39.0,3.25,0,0.0,0.0,1.0,119.9,9.99,8.25,4.74,10.94,1,3,4,2,2,0.5,0.2,10.42,137.9,11.49,10.0,4.8,12.71,1,2,5,2,2,0.5,0.2,13.46,155.9,12.99,11.95,4.95,14.67,1,2,6,1,2,0.33,0.2,13.23
Danny Woodhead,FA,RB,0.0,16,98,6.12,336,21.0,3.43,21.0,1.31,27,9.0,1,0.06,3,0.19,80,5.0,106,6.62,755,47.19,9.44,39.0,2.44,6,0.38,178,11.12,204,12.75,60.0,3.75,0,0.0,0.0,1.0,163.1,10.19,7.35,8.12,9.75,6,2,1,3,4,0.78,0.33,9.36,203.1,12.69,10.15,8.83,12.05,5,1,3,3,4,0.78,0.33,13.28,243.1,15.19,13.4,9.67,14.52,4,1,3,3,5,1.0,0.45,13.98
Lamar Miller,FA,RB,0.0,16,194,12.12,872,54.5,4.49,40.0,2.5,85,19.06,5,0.31,8,0.5,47,2.94,57,3.56,397,24.81,8.45,14.0,0.88,2,0.12,241,15.06,251,15.69,54.0,3.38,1,0.06,0.0,1.0,184.9,11.56,8.45,9.49,10.63,4,3,3,1,5,0.6,0.45,10.42,208.4,13.02,9.15,9.8,12.05,3,5,1,2,5,0.78,0.45,13.11,231.9,14.49,10.15,10.2,13.67,3,5,1,2,5,0.78,0.45,12.47
Frank Gore,FA,RB,0.0,16,260,16.25,967,60.44,3.72,44.0,2.75,37,16.38,4,0.25,6,0.38,34,2.12,58,3.62,267,16.69,7.85,10.0,0.62,1,0.06,294,18.38,318,19.88,54.0,3.38,3,0.19,0.01,1.0,159.4,9.96,7.55,6.1,10.24,3,4,4,0,5,0.45,0.45,10.18,176.4,11.02,9.6,5.97,11.55,3,4,4,1,4,0.45,0.33,13.09,193.4,12.09,11.55,5.95,13.04,5,1,5,2,3,0.45,0.23,12.66
