Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Christian McCaffrey,SF,RB,1.0,14.2,227.27,16.09,1155.8,79.92,4.95,63.6,4.39,54.87,22.63,7.2,0.44,10.07,0.72,64.47,4.65,79.8,5.66,554.07,40.27,8.64,29.47,2.18,5.27,0.35,291.73,20.74,307.07,21.76,93.07,6.56,1.07,0.06,0.01,0.95,262.29,18.42,17.79,7.74,18.02,0.53,0.27,0.93,3.33,9.13,9.62,2.14,19.97,294.53,20.74,19.95,8.43,20.05,0.27,0.53,0.67,3.47,9.27,10.38,2.21,25.03,326.76,23.07,21.94,9.23,22.39,0.27,0.53,0.13,4.0,9.27,10.91,2.21,23.44,5,18.55,315.33,1.0
Derrick Henry,BAL,RB,1.0,15.47,296.8,19.83,1292.6,86.31,4.33,64.0,4.29,68.13,22.82,6.8,0.44,12.33,0.83,27.4,1.81,34.87,2.28,248.4,16.39,8.83,7.87,0.54,0.0,0.0,324.2,21.64,331.67,22.1,71.87,4.82,0.93,0.06,0.0,0.98,232.9,15.58,16.67,8.92,14.53,3.0,1.13,0.73,2.13,8.47,2.32,1.25,17.23,246.6,16.49,17.99,8.98,15.56,3.13,1.6,0.13,2.33,8.27,2.32,1.14,20.5,260.3,17.39,19.09,9.1,16.84,3.2,0.93,0.73,2.87,7.73,2.32,1.02,18.94,5,12.75,216.81,9.0
Alvin Kamara,NO,RB,1.0,13.67,199.93,14.64,791.2,57.77,3.96,42.53,3.12,23.53,14.04,1.67,0.12,4.8,0.35,67.0,4.94,82.47,6.06,488.13,35.69,7.46,21.8,1.61,2.07,0.15,266.93,19.59,282.4,20.7,64.33,4.73,1.07,0.07,0.0,1.0,170.2,12.46,11.42,7.11,12.35,1.93,1.2,2.27,4.2,4.07,2.04,0.44,13.6,203.7,14.94,13.87,7.64,14.76,1.4,1.73,1.8,4.4,4.33,2.64,0.52,18.17,237.2,17.41,16.4,8.43,17.28,0.6,2.8,1.53,3.0,5.73,2.64,0.8,18.07,5,12.53,212.93,11.0
Kyren Williams,LAR,RB,1.0,10.67,163.67,14.13,809.0,69.35,4.67,43.33,3.7,43.0,16.01,4.67,0.39,8.0,0.67,24.33,2.15,36.0,3.17,162.67,14.61,7.11,7.67,0.71,2.0,0.17,188.0,16.28,199.67,17.29,51.0,4.41,1.33,0.11,0.01,0.96,155.83,13.28,13.13,6.03,13.09,2.33,1.67,0.0,0.67,6.0,3.33,2.0,15.16,168.0,14.36,14.5,6.52,14.13,2.33,1.67,0.0,1.33,5.33,3.33,1.33,18.03,180.17,15.44,15.17,7.09,15.37,2.33,1.67,0.0,2.0,4.67,3.33,0.93,16.36,2,10.75,182.82,17.0
James Conner,ARI,RB,1.0,13.27,197.93,14.95,911.53,69.09,4.59,53.07,4.01,38.2,18.58,7.4,0.57,8.0,0.6,33.93,2.56,41.13,3.11,232.33,17.36,6.76,12.4,0.93,1.73,0.13,231.87,17.51,239.07,18.06,65.47,4.94,0.27,0.02,0.0,1.0,172.25,12.95,13.62,7.37,12.72,1.07,3.0,1.6,2.33,5.27,1.37,0.69,14.32,189.22,14.23,14.81,7.66,14.03,1.87,2.47,1.4,2.87,4.67,1.33,0.55,17.66,206.19,15.51,15.58,8.05,15.55,1.07,3.2,1.6,2.87,4.53,1.28,0.53,16.05,5,10.11,171.8,21.0
Jonathan Taylor,IND,RB,1.0,11.8,201.07,16.92,944.2,78.05,4.59,51.67,4.25,58.93,21.2,5.8,0.47,7.93,0.65,25.33,2.11,32.4,2.69,187.67,15.49,7.41,6.13,0.5,0.87,0.07,226.4,19.02,233.47,19.61,57.8,4.75,1.13,0.09,0.0,0.98,163.72,13.54,12.52,7.72,13.11,1.6,1.27,1.73,2.6,4.6,1.94,0.67,14.11,176.39,14.59,14.25,7.81,14.3,1.87,0.53,2.2,2.73,4.47,1.63,0.63,17.51,189.05,15.64,15.64,8.01,15.7,1.87,0.53,2.2,3.07,4.13,1.63,0.55,16.15,4,12.84,218.36,7.0
Josh Jacobs,GB,RB,1.0,14.47,262.07,18.03,1057.4,71.44,3.93,53.0,3.53,62.13,17.88,3.93,0.26,8.4,0.57,43.27,2.98,57.4,3.99,326.8,22.57,7.62,14.73,1.03,0.0,0.0,305.33,21.01,319.47,22.02,67.73,4.56,1.2,0.08,0.0,1.0,186.42,12.64,11.61,7.44,12.38,1.47,2.67,2.87,2.87,4.6,1.07,0.51,13.39,208.05,14.13,12.93,7.78,13.91,1.33,2.67,2.73,2.47,5.27,1.17,0.6,16.96,229.69,15.62,14.01,8.23,15.63,1.53,2.47,3.13,2.2,5.13,1.04,0.59,15.71,5,12.69,215.66,10.0
Austin Ekeler,WAS,RB,1.0,14.8,185.07,12.51,735.73,49.4,3.96,39.2,2.63,54.07,15.03,3.2,0.21,7.8,0.5,68.67,4.56,90.2,6.03,538.2,36.01,8.09,25.73,1.72,3.07,0.19,253.73,17.07,275.27,18.54,64.93,4.35,3.33,0.23,0.01,1.0,186.46,12.31,9.62,7.41,12.02,2.6,3.0,1.33,2.07,5.8,1.82,0.65,12.41,220.79,14.59,12.97,7.74,14.27,1.67,2.0,3.13,1.53,6.47,1.62,0.8,16.94,255.13,16.87,16.09,8.23,16.73,1.67,1.53,2.8,2.33,6.47,2.98,0.8,17.34,5,12.8,217.54,8.0
Breece Hall,NYJ,RB,1.0,13.67,175.33,12.56,817.0,61.03,4.9,33.33,2.52,76.0,24.75,5.67,0.42,4.67,0.38,57.0,3.88,73.67,5.2,466.67,33.55,9.01,21.33,1.48,3.0,0.21,232.33,16.44,249.0,17.76,54.67,4.0,0.33,0.05,0.0,0.95,175.03,12.99,13.27,8.47,12.35,3.0,1.33,1.67,2.33,5.33,1.58,0.6,13.23,203.53,14.93,14.53,8.89,14.28,2.0,1.0,2.67,2.67,5.33,2.75,0.6,16.74,232.03,16.87,15.53,9.47,16.41,2.0,0.0,4.0,1.67,6.0,1.58,0.73,15.73,2,10.41,177.04,19.0
Saquon Barkley,PHI,RB,1.0,13.73,233.27,16.5,944.27,65.29,3.87,47.4,3.27,44.0,19.77,6.53,0.44,6.13,0.41,42.93,3.1,60.47,4.4,278.53,20.8,6.75,13.13,1.0,2.4,0.17,276.2,19.6,293.73,20.9,60.53,4.27,1.2,0.08,0.01,0.96,172.68,12.06,11.42,6.69,12.08,2.2,2.73,0.93,2.4,5.47,1.55,0.68,13.22,194.15,13.61,13.14,7.23,13.56,1.8,2.93,0.6,3.07,5.33,1.8,0.63,16.71,215.61,15.16,14.68,7.83,15.27,2.2,2.0,1.13,2.8,5.6,1.8,0.69,15.88,5,9.6,163.24,23.0
