Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Derrick Henry,BAL,RB,1.0,11.29,276.43,25.28,1334.57,117.79,4.7,66.43,5.94,80.86,28.52,7.57,0.59,12.86,1.17,18.29,1.8,23.71,2.21,150.0,15.0,8.24,5.71,0.61,0.29,0.02,294.71,27.07,300.14,27.49,72.14,6.56,1.0,0.06,0.0,0.93,229.43,20.76,18.93,11.92,18.04,0.43,1.57,1.29,1.43,6.57,2.63,1.49,19.24,238.57,21.67,19.79,12.23,18.96,1.0,1.43,0.86,2.29,5.71,2.63,1.02,22.9,247.71,22.56,20.64,12.58,20.18,1.43,0.71,1.14,2.43,5.57,2.63,0.98,20.36,3,20.0,340.08,2.0
Jonathan Taylor,IND,RB,1.0,16.33,298.67,18.18,1597.0,97.0,5.31,94.33,5.73,76.0,29.1,11.67,0.7,15.67,0.95,38.67,2.37,47.33,2.89,339.67,20.76,8.77,12.0,0.74,1.67,0.1,337.33,20.54,346.0,21.06,106.33,6.47,1.67,0.1,0.01,1.0,294.33,17.88,15.67,10.39,16.05,1.33,1.0,2.0,3.67,8.33,2.83,1.12,17.76,313.67,19.06,17.1,10.36,17.37,1.33,1.33,1.67,4.33,7.67,2.83,0.91,21.97,333.0,20.25,18.73,10.41,18.97,1.33,1.33,1.67,3.33,8.67,2.83,1.18,20.2,2,22.48,382.17,1.0
Dalvin Cook,DAL,RB,1.0,13.43,267.14,19.86,1269.29,94.3,4.73,67.14,4.97,68.43,21.61,7.86,0.59,9.86,0.72,39.57,2.94,52.43,3.9,305.29,22.51,7.51,13.71,1.01,0.29,0.02,306.71,22.8,319.57,23.76,80.86,5.98,2.29,0.17,0.01,1.0,216.6,16.01,14.76,8.85,14.97,1.29,0.86,1.86,3.57,5.86,5.24,0.91,17.27,236.39,17.48,16.59,8.76,16.62,1.29,1.43,1.29,3.57,5.86,5.24,0.91,21.65,256.17,18.95,18.31,8.74,18.55,1.86,0.57,1.71,2.43,6.86,4.91,1.26,20.25,3,16.5,280.54,4.0
Alvin Kamara,NO,RB,1.0,13.71,215.0,15.86,893.29,65.36,4.23,45.14,3.28,36.86,17.4,4.43,0.32,7.57,0.53,62.14,4.48,82.71,5.97,543.0,39.14,8.88,25.43,1.83,4.43,0.32,277.14,20.33,297.71,21.83,70.57,5.11,0.14,0.01,0.0,1.0,215.41,15.57,14.99,8.36,14.79,1.57,1.0,1.14,4.57,5.43,3.15,0.66,16.81,246.49,17.81,17.04,9.03,16.8,2.14,0.14,1.57,3.14,6.71,3.29,1.0,21.2,277.56,20.05,19.11,9.83,19.05,2.29,0.0,1.14,3.14,7.14,3.5,1.17,20.59,3,14.92,253.67,6.0
Christian McCaffrey,SF,RB,1.0,7.14,114.43,16.26,515.0,69.89,4.33,23.57,3.48,26.57,15.36,0.86,0.05,4.14,0.69,42.57,5.68,49.14,6.43,382.14,51.16,9.04,22.57,2.99,1.43,0.21,157.0,21.94,163.57,22.69,46.14,6.47,0.0,0.0,0.0,0.78,123.43,17.55,19.6,6.24,18.67,1.14,0.14,0.71,0.71,4.43,2.62,1.9,15.59,144.71,20.39,23.36,7.54,20.66,1.29,0.0,0.57,0.14,5.14,3.76,2.62,21.16,166.0,23.22,26.39,9.02,22.97,1.29,0.0,0.57,0.14,5.14,3.76,2.62,19.68,3,17.31,294.32,3.0
Austin Ekeler,WAS,RB,1.0,14.29,169.71,11.85,751.57,52.65,4.43,42.29,2.92,28.71,13.82,2.86,0.2,7.57,0.48,68.57,4.87,87.71,6.18,626.71,43.49,8.95,29.43,2.05,6.29,0.41,238.29,16.71,257.43,18.03,71.71,4.97,2.0,0.13,0.01,0.99,219.26,14.89,13.51,7.16,14.68,1.0,0.57,2.14,5.57,5.0,4.43,0.54,15.69,253.54,17.33,16.55,7.78,16.96,0.43,0.57,2.86,3.71,6.71,3.09,0.92,20.38,287.83,19.76,19.2,8.56,19.46,0.43,1.0,2.29,3.57,7.0,3.14,0.97,20.0,3,15.66,266.17,5.0
Najee Harris,PIT,RB,1.0,17.0,307.0,18.06,1200.0,70.59,3.91,62.0,3.65,37.0,15.41,6.0,0.35,7.0,0.41,74.0,4.35,94.0,5.53,467.0,27.47,6.31,22.0,1.29,3.0,0.18,381.0,22.41,401.0,23.59,84.0,4.94,0.0,0.0,0.0,1.0,226.7,13.34,13.8,6.69,13.39,4.0,0.0,2.0,6.0,5.0,1.83,0.42,15.24,263.7,15.51,15.3,6.99,15.62,3.0,1.0,0.0,6.0,7.0,3.25,0.7,20.05,300.7,17.69,17.3,7.55,17.98,3.0,1.0,0.0,6.0,7.0,3.25,0.7,19.32,1,12.83,218.09,10.0
Nick Chubb,CLE,RB,1.0,13.71,227.14,16.49,1237.71,90.13,5.48,59.43,4.35,69.43,27.7,11.86,0.88,9.14,0.68,21.14,1.52,26.43,1.89,182.0,13.16,8.75,8.71,0.62,0.57,0.04,248.29,18.01,253.57,18.38,68.14,4.98,1.29,0.09,0.0,1.0,197.69,14.49,13.69,7.87,14.0,1.43,2.29,2.0,2.43,5.57,2.14,0.78,15.17,208.26,15.25,14.16,8.09,14.83,2.57,1.86,1.57,2.71,5.0,1.57,0.59,17.88,218.83,16.01,14.81,8.34,15.9,2.57,2.0,1.57,2.86,4.71,1.54,0.53,15.99,3,13.82,234.97,9.0
Ezekiel Elliott,LAC,RB,1.0,16.29,248.14,15.3,1046.14,64.44,4.21,60.29,3.73,40.43,14.89,3.14,0.2,9.14,0.56,49.43,3.05,67.57,4.17,320.57,19.83,6.46,17.86,1.1,2.0,0.12,297.57,18.36,315.71,19.47,78.14,4.84,2.29,0.15,0.01,1.0,203.07,12.46,11.67,6.46,12.64,2.57,2.71,2.29,3.71,5.0,1.45,0.45,13.39,227.79,13.99,14.21,6.48,14.38,2.29,2.43,2.14,4.86,4.57,1.97,0.42,17.65,252.5,15.52,16.17,6.67,16.29,2.29,2.14,2.43,4.57,4.86,1.97,0.46,16.83,3,11.25,191.32,17.0
Josh Jacobs,GB,RB,1.0,14.71,236.57,16.13,966.86,66.14,4.09,50.71,3.46,31.29,15.11,3.14,0.22,9.57,0.65,43.14,2.91,53.29,3.59,290.57,19.62,6.93,11.71,0.79,0.0,0.0,279.71,19.03,289.86,19.72,62.43,4.25,1.86,0.12,0.01,1.0,179.46,12.22,12.34,6.28,12.54,2.57,1.71,2.71,4.57,3.14,1.1,0.29,13.35,201.03,13.67,13.56,6.17,14.35,1.43,2.29,3.43,3.86,3.71,1.07,0.35,16.73,222.6,15.12,14.36,6.21,16.37,1.14,1.71,4.86,3.86,3.14,0.93,0.29,15.56,3,11.02,187.27,19.0
