Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Rob Gronkowski,FA,TE,0.0,16,90,5.62,124,7.75,1327,82.94,14.74,69.0,4.31,52,27.25,0,0.0,17,1.06,1,0.06,2,0.12,2.0,1.0,0.06,1,0.06,91,5.69,125,7.81,70.0,4.38,0,0.0,0.0,1.0,240.9,15.06,15.35,8.56,12.59,2,1,2,2,9,2.2,1.29,14.83,285.9,17.87,18.85,9.01,15.25,2,1,0,4,9,4.33,1.29,20.22,330.9,20.68,22.35,9.55,17.98,2,1,0,4,9,4.33,1.29,20.52
Jimmy Graham,FA,TE,0.0,16,99,6.19,149,9.31,1310,81.88,13.23,74.0,4.62,59,27.44,0,0.0,11,0.69,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,99,6.19,149,9.31,74.0,4.62,1,0.06,0.01,1.0,195.0,12.19,12.0,4.78,11.79,1,1,2,4,8,3.0,1.0,13.45,244.5,15.28,15.2,5.15,15.0,1,1,0,6,8,7.0,1.0,19.32,294.0,18.38,18.7,5.65,18.21,1,0,1,5,9,7.0,1.29,19.89
Tim Tebow,FA,TE,0.0,14,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,122,8.71,660,47.14,5.41,35.0,2.5,6,0.43,122,8.71,122,8.71,35.0,2.5,6,0.43,0.05,1.0,199.3,14.24,16.7,8.75,11.84,3,0,0,0,11,3.67,3.67,16.73,199.3,14.24,16.7,8.75,12.24,3,0,0,3,8,3.67,1.33,17.14,199.3,14.24,16.7,8.75,12.65,3,0,1,5,5,2.5,0.56,15.06
Fred Davis,FA,TE,0.0,12,59,4.92,88,7.33,796,66.33,13.49,39.0,3.25,42,26.0,0,0.0,3,0.25,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,59,4.92,88,7.33,39.0,3.25,1,0.08,0.02,1.0,95.6,7.97,9.45,4.53,7.81,5,0,0,5,2,1.4,0.2,9.16,125.1,10.42,12.7,5.12,10.25,5,0,0,5,2,1.4,0.2,13.06,154.6,12.88,15.5,5.8,12.69,3,2,0,4,3,1.4,0.33,13.69
Antonio Gates,FA,TE,0.0,13,64,4.92,88,6.77,778,59.85,12.16,45.0,3.46,38,19.85,0,0.0,7,0.54,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,64,4.92,88,6.77,45.0,3.46,0,0.0,0.0,1.0,119.8,9.22,7.4,5.63,8.56,3,1,3,2,4,0.86,0.44,8.48,151.8,11.68,11.4,6.43,10.84,3,1,2,4,3,1.17,0.3,12.8,183.8,14.14,15.4,7.32,13.13,3,0,2,5,3,1.6,0.3,13.85
Aaron Hernandez,FA,TE,0.0,14,79,5.64,113,8.07,910,65.0,11.52,46.0,3.29,46,22.07,0,0.0,7,0.5,5,0.36,45,3.21,9.0,2.0,0.14,0,0.0,84,6.0,118,8.43,48.0,3.43,1,0.07,0.01,1.0,135.5,9.68,7.75,6.15,8.79,4,2,2,2,4,0.75,0.4,8.75,175.0,12.5,10.05,6.82,11.44,2,4,1,2,5,1.0,0.56,12.79,214.5,15.32,12.8,7.56,14.12,1,3,3,2,5,1.0,0.56,13.25
Tony Gonzalez,FA,TE,0.0,16,80,5.0,116,7.25,875,54.69,10.94,53.0,3.31,30,18.69,0,0.0,7,0.44,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,80,5.0,116,7.25,53.0,3.31,0,0.0,0.0,1.0,129.5,8.09,7.5,4.98,7.75,4,2,4,3,3,0.6,0.23,7.8,169.5,10.59,10.55,5.72,10.13,3,1,4,4,4,1.0,0.33,12.07,209.5,13.09,12.9,6.58,12.49,3,2,3,4,4,1.0,0.33,12.3
Jason Witten,FA,TE,0.0,16,79,4.94,117,7.31,942,58.88,11.92,47.0,2.94,64,26.44,0,0.0,5,0.31,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,79,4.94,117,7.31,47.0,2.94,0,0.0,0.0,1.0,124.2,7.76,7.3,4.47,7.64,5,2,2,4,3,0.78,0.23,7.84,163.7,10.23,10.05,4.76,10.24,5,1,3,4,3,0.78,0.23,11.45,203.2,12.7,12.95,5.15,12.88,3,3,2,4,4,1.0,0.33,12.48
Brandon Pettigrew,FA,TE,0.0,16,83,5.19,126,7.88,777,48.56,9.36,37.0,2.31,27,16.12,0,0.0,5,0.31,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,83,5.19,126,7.88,37.0,2.31,0,0.0,0.0,1.0,107.7,6.73,6.05,4.44,6.63,6,3,0,6,1,0.78,0.07,6.78,149.2,9.32,8.55,5.52,9.0,6,2,1,3,4,0.78,0.33,10.21,190.7,11.92,11.15,6.67,11.33,5,3,1,2,5,0.78,0.45,11.15
Jermichael Finley,FA,TE,0.0,16,55,3.44,92,5.75,767,47.94,13.95,44.0,2.75,41,21.62,1,0.06,8,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,55,3.44,92,5.75,44.0,2.75,0,0.0,0.0,1.0,124.7,7.79,6.75,6.29,7.04,5,1,6,1,3,0.33,0.23,6.8,152.2,9.51,8.5,7.19,8.59,5,1,6,1,3,0.33,0.23,9.5,179.7,11.23,10.2,8.12,10.16,5,3,4,1,3,0.33,0.23,9.44
