Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Travis Kelce,KC,TE,1.0,15.53,97.05,6.25,129.6,8.33,1086.21,69.68,11.14,58.74,3.76,53.72,22.78,13.92,0.89,7.01,0.44,0.6,0.04,1.37,0.08,0.7,0.31,0.02,0.08,0.0,97.65,6.28,130.21,8.37,59.04,3.78,1.0,0.07,0.01,1.0,149.8,9.57,9.28,6.15,8.68,2.79,1.13,1.7,3.93,5.98,1.82,0.78,10.24,198.33,12.69,12.1,7.06,11.52,2.56,0.9,2.06,3.65,6.36,1.94,0.95,14.52,246.85,15.82,14.43,8.02,14.37,1.67,0.89,1.4,4.53,7.04,2.97,1.07,15.27,5,10.7,181.9,1.0
Mark Andrews,BAL,TE,1.0,11.78,56.34,4.7,80.42,6.64,678.82,56.68,12.04,35.64,2.94,38.06,22.36,8.79,0.75,6.06,0.53,1.41,0.12,1.79,0.12,0.6,0.67,0.04,0.0,0.0,57.75,4.82,81.83,6.76,36.31,2.98,0.01,0.0,0.0,0.97,105.13,8.93,7.1,6.21,8.09,2.79,1.6,1.99,1.73,3.67,0.91,0.45,8.01,133.3,11.28,10.18,6.79,10.35,3.46,0.38,1.76,2.29,3.88,1.28,0.48,11.84,161.47,13.63,12.76,7.49,12.62,2.79,1.04,1.42,1.89,4.63,1.38,0.66,12.47,5,8.61,146.39,4.0
George Kittle,SF,TE,1.0,15.41,64.07,4.19,88.88,5.8,945.62,61.48,14.73,40.5,2.64,61.4,26.6,16.02,1.03,7.01,0.46,0.98,0.06,3.43,0.25,2.08,0.7,0.04,0.0,0.0,65.06,4.25,89.86,5.87,41.21,2.69,0.3,0.02,0.01,1.0,136.36,8.87,7.68,7.39,7.69,6.09,0.07,1.44,2.28,5.53,1.03,0.56,8.37,168.4,10.96,9.89,8.06,9.63,6.09,0.73,0.69,1.4,6.5,1.06,0.73,11.54,200.43,13.06,12.08,8.84,11.57,6.44,0.36,0.7,1.41,6.5,1.07,0.73,11.84,5,9.3,158.15,3.0
Sam LaPorta,DET,TE,1.0,17.0,86.0,5.06,120.0,7.06,889.0,52.29,10.34,48.0,2.82,48.0,22.18,8.0,0.47,10.0,0.59,1.0,0.06,4.0,0.24,4.0,0.0,0.0,0.0,0.0,87.0,5.12,121.0,7.12,48.0,2.82,0.0,0.0,0.0,1.0,153.3,9.02,6.3,6.5,8.08,5.0,2.0,2.0,2.0,6.0,0.89,0.55,8.01,196.3,11.55,8.8,7.06,10.48,4.0,2.0,3.0,2.0,6.0,0.89,0.55,11.38,239.3,14.08,11.3,7.7,12.91,3.0,3.0,1.0,3.0,7.0,1.43,0.7,12.44,1,9.56,162.58,2.0
T.J. Hockenson,MIN,TE,1.0,15.22,89.25,5.87,123.04,8.08,910.92,59.83,10.21,45.48,2.99,41.53,21.31,10.61,0.71,5.15,0.33,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.27,5.87,123.07,8.08,45.48,2.99,0.92,0.06,0.01,1.0,121.24,7.96,5.73,5.85,7.36,3.14,2.89,4.17,1.4,3.63,0.5,0.32,7.03,165.86,10.89,8.99,6.66,10.1,2.02,1.01,5.12,2.75,4.32,0.95,0.41,11.37,210.49,13.83,11.84,7.62,12.81,1.72,1.24,4.05,3.67,4.55,1.25,0.43,12.34,5,8.54,145.21,5.0
Evan Engram,JAC,TE,1.0,16.75,97.95,5.82,126.29,7.52,866.0,51.5,9.0,41.37,2.46,34.96,17.86,8.59,0.51,3.84,0.23,0.69,0.04,3.38,0.2,1.35,0.25,0.01,0.02,0.0,98.64,5.86,126.98,7.56,41.62,2.47,1.44,0.09,0.02,1.0,107.71,6.41,5.1,5.28,6.06,5.66,3.11,4.24,1.02,2.72,0.29,0.19,5.83,156.69,9.32,7.89,6.29,8.72,5.34,1.11,4.11,2.79,3.41,0.61,0.26,9.63,205.67,12.23,10.7,7.37,11.37,5.31,0.15,3.43,3.78,4.08,0.93,0.33,10.9,5,6.95,118.17,8.0
David Njoku,CLE,TE,1.0,15.31,70.36,4.54,104.93,6.76,771.51,49.76,11.03,33.07,2.15,43.39,20.86,10.51,0.68,5.26,0.34,0.52,0.04,-1.71,-0.12,-0.82,0.0,0.0,0.0,0.0,70.88,4.57,105.45,6.8,33.07,2.15,1.56,0.1,0.02,1.0,105.44,6.81,5.18,5.33,6.39,5.73,0.89,3.3,1.27,4.12,0.55,0.37,6.38,140.62,9.07,7.83,6.07,8.53,5.73,0.0,3.97,1.52,4.09,0.59,0.37,9.41,175.8,11.35,10.38,6.89,10.68,5.73,0.3,1.66,3.53,4.09,1.05,0.37,10.55,5,7.44,126.48,6.0
Dalton Schultz,HOU,TE,1.0,15.18,59.59,3.92,88.73,5.85,629.23,41.41,10.52,33.47,2.2,30.57,15.9,6.32,0.42,5.16,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.59,3.92,88.73,5.85,33.47,2.2,0.92,0.06,0.02,1.0,92.18,6.06,5.36,5.21,5.73,6.28,1.49,1.98,2.26,3.17,0.58,0.27,6.01,121.97,8.02,7.3,6.16,7.52,6.43,0.94,1.09,3.55,3.17,0.81,0.27,8.81,151.77,9.98,9.25,7.21,9.29,5.96,1.36,1.81,2.95,3.1,0.67,0.26,9.07,5,6.13,104.15,13.0
Dallas Goedert,PHI,TE,1.0,13.56,57.55,4.25,78.94,5.82,632.69,46.99,11.03,35.11,2.61,44.31,18.89,7.75,0.58,3.09,0.23,0.67,0.05,0.67,0.05,0.67,0.0,0.0,0.0,0.0,58.22,4.31,79.61,5.87,35.11,2.61,0.24,0.02,0.0,1.0,81.55,6.04,4.67,4.78,5.9,5.57,2.48,2.14,0.83,2.54,0.34,0.23,5.53,110.33,8.18,6.87,5.58,7.92,5.57,2.32,1.03,1.88,2.76,0.57,0.25,8.76,139.1,10.31,9.01,6.46,9.92,4.2,3.69,1.03,1.88,2.76,0.57,0.25,9.12,5,6.21,105.58,12.0
Darren Waller,FA,TE,0.0,11.39,48.55,4.18,70.61,6.11,544.68,47.35,11.48,25.21,2.18,31.02,19.75,8.84,0.79,1.74,0.16,0.02,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.0,48.56,4.18,70.63,6.11,25.21,2.18,0.06,0.0,0.0,0.98,64.82,5.69,4.8,4.33,5.62,4.61,2.93,0.4,1.68,1.76,0.47,0.22,5.49,89.09,7.78,7.03,5.16,7.62,4.58,2.21,1.08,1.14,2.38,0.5,0.29,8.35,113.36,9.86,9.28,6.04,9.6,4.59,0.77,2.49,1.28,2.26,0.51,0.26,8.9,5,4.98,84.74,23.0
Taysom Hill,NO,TE,1.0,15.7,24.75,1.55,30.63,1.92,220.21,13.84,9.19,8.99,0.57,32.8,8.56,1.65,0.1,1.86,0.11,83.23,5.31,437.18,27.9,5.23,27.85,1.78,4.82,0.31,107.98,6.86,113.86,7.23,36.84,2.35,0.79,0.05,0.01,1.0,104.5,6.53,5.53,6.11,5.77,7.22,0.89,1.12,2.45,4.02,0.75,0.35,6.46,116.87,7.31,6.9,6.38,6.64,7.45,0.89,1.79,2.01,3.57,0.58,0.29,8.32,129.25,8.08,7.46,6.73,7.51,7.45,2.01,0.45,2.68,3.12,0.62,0.25,7.71,5,5.26,89.39,17.0
Cole Kmet,CHI,TE,1.0,16.98,65.72,3.87,84.35,4.96,659.7,38.83,10.08,32.85,1.94,49.85,17.22,7.98,0.47,5.68,0.33,2.58,0.15,3.3,0.2,1.39,1.58,0.09,0.0,0.0,68.3,4.02,86.92,5.12,34.42,2.03,0.02,0.0,0.0,1.0,100.3,5.9,4.09,5.43,5.52,7.25,3.38,1.3,2.35,2.7,0.45,0.19,5.13,133.16,7.84,6.38,6.22,7.33,8.0,1.95,0.92,2.05,4.05,0.58,0.33,8.06,166.02,9.77,8.52,7.1,9.13,7.05,1.55,1.82,3.18,3.38,0.69,0.26,8.63,4,6.35,108.0,11.0
Dalton Kincaid,BUF,TE,1.0,16.0,73.0,4.56,91.0,5.69,673.0,42.06,9.22,29.0,1.81,51.0,15.44,5.0,0.31,2.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,4.56,91.0,5.69,29.0,1.81,1.0,0.06,0.01,1.0,77.3,4.83,4.05,3.85,4.93,8.0,2.0,1.0,3.0,2.0,0.45,0.14,4.89,113.8,7.11,6.55,4.7,7.14,7.0,2.0,1.0,4.0,2.0,0.6,0.14,7.82,150.3,9.39,9.05,5.72,9.28,7.0,1.0,2.0,1.0,5.0,0.6,0.45,9.12,1,6.74,114.53,10.0
Jake Ferguson,DAL,TE,1.0,15.5,58.0,3.57,82.0,5.0,614.25,37.52,10.33,32.0,1.94,37.5,17.09,6.75,0.42,4.25,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,3.57,82.0,5.0,32.0,1.94,0.0,0.0,0.0,1.0,86.92,5.35,3.92,3.82,5.44,6.5,2.25,2.0,2.5,2.25,0.44,0.16,4.96,115.92,7.13,6.12,4.42,7.23,6.5,1.25,2.25,3.25,2.25,0.55,0.16,7.63,144.92,8.91,8.4,5.09,9.0,6.75,1.0,2.25,4.0,1.5,0.55,0.1,8.2,2,6.88,116.95,9.0
Trey McBride,ARI,TE,1.0,15.75,68.0,4.18,89.25,5.49,685.0,41.92,9.93,34.5,2.1,35.75,16.46,7.5,0.46,2.5,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,4.18,89.25,5.49,34.5,2.1,0.0,0.0,0.0,1.0,83.5,5.11,3.61,4.68,4.94,8.25,2.0,1.5,1.5,2.5,0.34,0.18,4.62,117.5,7.2,5.92,5.9,6.79,7.75,1.5,1.75,1.5,3.25,0.44,0.26,7.51,151.5,9.29,8.24,7.17,8.63,7.75,0.75,2.5,1.5,3.25,0.44,0.26,8.12,2,7.22,122.74,7.0
