Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Travis Kelce,KC,TE,1.0,15.31,103.0,6.74,143.31,9.38,1366.69,89.5,13.26,75.15,4.93,45.31,25.33,20.31,1.33,9.54,0.62,0.23,0.01,0.92,0.06,0.92,0.23,0.01,0.23,0.01,103.23,6.75,143.54,9.39,75.38,4.94,1.0,0.07,0.01,1.0,194.9,12.78,13.83,5.02,12.22,1.0,0.62,2.08,2.0,9.62,3.41,2.12,15.02,246.4,16.15,17.25,5.77,15.43,1.0,0.23,1.77,2.46,9.85,5.14,2.16,20.58,297.9,19.52,20.73,6.61,18.63,1.0,0.0,1.92,2.08,10.31,5.18,2.98,21.05,3,16.0,272.01,1.0
Darren Waller,FA,TE,0.0,15.08,95.31,6.04,127.85,8.07,1098.0,69.71,11.64,60.31,3.82,47.0,21.97,14.38,0.91,6.92,0.43,0.54,0.05,2.77,0.48,2.19,0.31,0.03,0.0,0.0,95.85,6.09,128.38,8.12,60.62,3.86,1.62,0.1,0.02,0.97,149.77,9.5,8.23,7.14,8.25,4.38,0.92,3.08,1.15,5.54,0.8,0.59,8.82,197.42,12.52,10.82,8.26,10.85,3.46,1.46,1.15,2.77,6.23,1.66,0.75,13.42,245.08,15.54,14.09,9.45,13.45,3.69,0.77,0.92,2.54,7.15,1.82,0.97,14.09,3,11.46,194.77,2.0
George Kittle,SF,TE,1.0,10.0,59.62,5.98,78.77,7.87,787.85,78.84,13.21,39.0,3.93,51.08,28.19,10.77,1.05,2.92,0.28,2.62,0.26,17.62,1.88,7.67,1.0,0.1,0.0,0.0,62.23,6.24,81.38,8.13,40.0,4.04,0.0,0.0,0.0,0.92,98.24,9.76,7.16,6.9,8.65,2.0,2.15,1.0,1.69,3.15,0.93,0.44,7.94,128.05,12.75,10.32,8.39,11.15,2.0,1.69,1.31,1.62,3.38,1.0,0.49,12.13,157.85,15.74,13.29,9.96,13.64,1.31,1.69,1.0,2.54,3.46,1.5,0.51,12.44,3,10.24,174.15,3.0
Mark Andrews,BAL,TE,1.0,14.38,57.54,4.01,87.38,6.1,724.38,50.43,12.69,37.92,2.64,44.46,22.33,11.23,0.78,7.38,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.54,4.01,87.38,6.1,37.92,2.64,0.23,0.02,0.0,1.0,116.28,8.1,7.14,5.92,7.4,5.69,1.38,1.85,0.54,4.92,0.66,0.55,7.76,145.05,10.11,9.88,6.42,9.37,5.92,0.54,0.92,2.31,4.69,1.04,0.51,11.22,173.82,12.11,12.74,7.0,11.36,5.92,0.38,0.38,3.0,4.69,1.27,0.51,11.99,3,9.0,152.98,4.0
Hunter Henry,NE,TE,1.0,13.5,58.75,4.36,88.75,6.56,622.75,46.42,10.63,35.25,2.62,32.25,17.42,5.75,0.44,4.25,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.75,4.36,88.75,6.56,35.25,2.62,0.25,0.02,0.0,1.0,87.78,6.55,6.55,3.97,6.64,5.0,1.25,1.75,4.5,1.0,0.77,0.08,6.84,117.15,8.74,9.22,4.48,8.89,4.25,2.0,1.75,4.5,1.0,0.77,0.08,10.12,146.52,10.92,11.51,5.09,11.13,4.25,0.25,3.0,5.0,1.0,0.81,0.08,10.68,2,7.44,126.4,6.0
Jared Cook,FA,TE,0.0,14.85,40.77,2.75,64.31,4.33,580.54,39.19,14.23,29.62,2.0,49.38,20.56,8.77,0.6,7.38,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.77,2.75,64.31,4.33,29.62,2.0,0.69,0.05,0.02,1.0,100.98,6.83,7.98,4.93,6.54,5.62,0.38,2.31,4.08,2.46,0.83,0.2,7.36,121.36,8.2,9.65,5.48,7.91,5.54,0.46,2.31,4.77,1.77,0.83,0.15,9.5,141.75,9.57,11.21,6.07,9.3,5.54,0.85,2.92,3.77,1.77,0.62,0.15,9.52,3,6.43,109.27,14.0
Austin Hooper,NE,TE,2.0,13.23,54.62,4.12,77.62,5.87,533.54,40.31,9.69,30.46,2.31,35.77,17.19,4.46,0.34,4.46,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.62,4.12,77.62,5.87,30.46,2.31,0.0,0.0,0.0,1.0,80.74,6.11,5.7,3.8,6.22,5.38,1.85,2.38,2.46,1.15,0.39,0.12,5.97,108.05,8.17,8.47,4.5,8.26,5.31,1.0,1.92,3.85,1.15,0.71,0.12,9.3,135.35,10.23,10.4,5.28,10.26,5.08,1.23,1.85,3.77,1.31,0.72,0.14,9.75,3,7.04,119.63,10.0
T.J. Hockenson,MIN,TE,1.0,15.0,58.25,3.81,90.5,5.96,634.0,41.54,10.96,34.75,2.27,48.0,17.98,6.0,0.41,5.0,0.33,0.75,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,3.86,91.25,6.02,34.75,2.27,0.75,0.05,0.01,1.0,93.4,6.09,5.96,4.11,6.2,5.0,2.0,2.25,4.0,1.75,0.64,0.13,6.32,122.53,7.99,8.11,4.66,8.14,5.0,1.25,4.0,2.25,2.5,0.47,0.2,9.03,151.65,9.9,9.67,5.3,10.07,4.75,1.5,3.25,3.0,2.5,0.61,0.2,9.41,2,7.74,131.65,5.0
Eric Ebron,FA,TE,0.0,14.15,51.0,3.55,83.46,5.82,530.54,37.23,10.56,28.38,1.99,33.85,17.41,5.62,0.39,5.15,0.35,0.23,0.01,-0.62,-0.04,-0.21,0.08,0.0,0.08,0.0,51.23,3.56,83.69,5.84,28.46,2.0,0.77,0.05,0.01,1.0,84.22,5.88,5.23,4.08,5.9,5.69,2.85,1.38,2.77,1.46,0.47,0.13,5.73,109.72,7.65,7.88,4.62,7.71,6.31,1.23,1.85,2.62,2.15,0.57,0.19,8.66,135.22,9.42,10.55,5.29,9.49,6.31,0.54,2.15,3.08,2.08,0.62,0.17,9.48,3,6.16,104.73,17.0
Evan Engram,JAC,TE,1.0,13.77,57.23,4.31,96.08,7.12,604.92,45.81,10.62,29.15,2.2,58.15,20.81,5.69,0.43,1.62,0.15,5.08,0.37,22.38,1.58,4.46,1.15,0.09,0.69,0.04,62.31,4.68,101.15,7.5,30.31,2.29,0.69,0.04,0.01,0.97,75.35,5.83,4.58,4.05,5.85,6.69,1.69,2.31,1.69,1.38,0.34,0.15,5.35,103.96,7.98,7.07,4.78,7.97,6.0,1.92,2.69,1.08,2.08,0.36,0.2,8.36,132.58,10.14,9.6,5.62,10.04,5.31,2.23,2.38,1.69,2.15,0.43,0.22,9.1,3,6.86,116.7,11.0
