Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Julio Jones,FA,WR,0.0,16,136,8.5,203,12.69,1871,116.94,13.76,93.0,5.81,70,34.56,15,0.94,8,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,136,8.5,203,12.69,93.0,5.81,1,0.06,0.01,1.0,233.1,14.57,14.3,7.32,14.08,3,1,2,4,6,1.67,0.6,14.72,301.1,18.82,19.55,8.31,18.14,2,1,3,1,9,1.67,1.29,21.86,369.1,23.07,24.05,9.38,22.21,2,1,2,1,10,2.2,1.67,22.87
DeAndre Hopkins,TEN,WR,1.0,16,111,6.94,192,12.0,1521,95.06,13.7,83.0,5.19,61,27.62,15,0.94,11,0.69,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,111,6.94,192,12.0,83.0,5.19,0,0.0,0.0,1.0,220.1,13.76,15.1,7.22,13.34,4,1,1,4,6,1.67,0.6,14.67,275.6,17.23,18.35,7.91,16.82,4,0,2,2,8,1.67,1.0,20.28,331.1,20.69,21.6,8.68,20.32,4,0,2,2,8,1.67,1.0,20.38
Brandon Marshall,FA,WR,0.0,16,109,6.81,173,10.81,1502,93.88,13.78,76.0,4.75,69,32.81,12,0.75,14,0.88,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,109,6.81,173,10.81,76.0,4.75,2,0.12,0.02,1.0,230.2,14.39,13.85,5.5,14.94,1,2,3,4,6,1.67,0.6,14.69,284.7,17.79,17.45,6.4,18.31,1,2,2,4,7,2.2,0.78,20.27,339.2,21.2,20.95,7.4,21.66,1,2,2,3,8,2.2,1.0,20.8
Odell Beckham Jr.,MIA,WR,1.0,15,96,6.4,158,10.53,1450,96.67,15.1,67.0,4.47,87,40.67,6,0.4,13,0.87,1,0.07,3,0.2,3.0,0.0,0.0,0,0.0,97,6.47,159,10.6,67.0,4.47,0,0.0,0.0,1.0,223.3,14.89,13.9,8.63,13.81,4,0,1,3,7,2.0,0.88,14.64,271.3,18.09,17.4,9.08,17.05,4,0,0,5,6,2.75,0.67,19.72,319.3,21.29,20.4,9.59,20.38,4,0,0,5,6,2.75,0.67,20.02
Antonio Brown,FA,WR,0.0,16,136,8.5,193,12.06,1834,114.62,13.49,84.0,5.25,59,33.31,14,0.88,10,0.62,3,0.19,28,1.75,9.33,1.0,0.06,0,0.0,139,8.69,196,12.25,85.0,5.31,2,0.12,0.01,1.0,246.2,15.39,11.9,10.18,13.7,5,1,2,1,7,1.0,0.78,13.29,314.2,19.64,16.15,11.92,17.3,4,1,2,2,7,1.29,0.78,19.28,382.2,23.89,20.4,13.74,20.91,4,1,2,2,7,1.29,0.78,19.77
Eric Decker,FA,WR,0.0,15,80,5.33,132,8.8,1027,68.47,12.84,60.0,4.0,35,23.27,14,0.93,12,0.8,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,80,5.33,132,8.8,60.0,4.0,1,0.07,0.01,1.0,172.7,11.51,11.0,2.11,15.19,0,1,7,7,0,0.88,0.0,12.26,212.7,14.18,14.1,2.69,18.12,0,2,5,7,1,1.14,0.07,16.97,252.7,16.85,17.2,3.39,20.92,0,3,4,7,1,1.14,0.07,17.33
Allen Robinson II,NYG,WR,1.0,16,80,5.0,151,9.44,1400,87.5,17.5,61.0,3.81,90,34.69,18,1.12,14,0.88,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,80,5.0,151,9.44,61.0,3.81,0,0.0,0.0,1.0,224.0,14.0,11.65,7.96,13.25,3,1,3,4,5,1.29,0.45,12.64,264.0,16.5,13.95,8.9,15.64,3,1,4,4,4,1.0,0.33,16.1,304.0,19.0,16.45,9.88,18.06,3,1,5,3,4,0.78,0.33,15.99
Julian Edelman,FA,WR,0.0,9,61,6.78,88,9.78,692,76.89,11.34,37.0,4.11,59,25.33,6,0.67,7,0.78,3,0.33,23,2.56,7.67,3.0,0.33,0,0.0,64,7.11,91,10.11,40.0,4.44,1,0.11,0.02,0.93,111.5,12.39,10.6,6.41,12.38,2,1,3,0,3,0.5,0.5,10.54,142.0,15.78,14.2,7.07,15.84,2,0,2,2,3,1.25,0.5,15.92,172.5,19.17,17.2,7.91,19.26,2,0,2,3,2,1.25,0.29,15.87
Demaryius Thomas,FA,WR,0.0,16,105,6.56,177,11.06,1304,81.5,12.42,63.0,3.94,72,28.19,7,0.44,6,0.38,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,105,6.56,177,11.06,63.0,3.94,2,0.12,0.02,1.0,162.4,10.15,10.2,4.67,10.98,5,2,2,4,3,0.78,0.23,10.71,214.9,13.43,13.6,5.01,14.69,3,3,3,4,3,0.78,0.23,15.52,267.4,16.71,17.8,5.62,18.29,3,2,2,5,4,1.29,0.33,17.15
Sammy Watkins,FA,WR,0.0,13,60,4.62,96,7.38,1047,80.54,17.45,41.0,3.15,63,33.92,7,0.54,9,0.69,1,0.08,1,0.08,1.0,0.0,0.0,0,0.0,61,4.69,97,7.46,41.0,3.15,0,0.0,0.0,1.0,158.8,12.22,12.0,8.77,11.29,4,1,1,3,4,1.17,0.44,11.71,188.8,14.52,15.0,9.69,13.47,4,1,1,3,4,1.17,0.44,15.36,218.8,16.83,18.0,10.73,15.67,4,1,1,3,4,1.17,0.44,15.86
