Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Justin Jefferson,MIN,WR,1.0,13.97,94.46,6.76,138.71,9.92,1417.72,102.4,15.19,64.32,4.68,58.4,30.09,25.95,1.97,7.0,0.5,2.75,0.18,4.49,0.06,-2.65,0.74,0.04,0.28,0.02,97.22,6.94,141.46,10.11,65.06,4.72,0.6,0.05,0.01,0.98,186.35,13.34,14.65,8.04,12.61,3.92,0.49,1.12,2.63,5.8,1.56,0.82,13.89,233.58,16.72,18.69,9.2,15.73,3.32,1.09,1.12,2.03,6.4,1.56,1.05,19.22,280.81,20.1,22.77,10.44,18.86,2.86,1.25,1.22,2.12,6.52,1.67,1.07,19.76,4,12.77,217.14,5.0
Tyreek Hill,MIA,WR,1.0,16.34,113.58,6.95,164.08,10.04,1606.6,98.49,14.13,76.66,4.69,73.2,32.7,23.83,1.46,10.85,0.67,7.69,0.48,47.95,2.96,5.44,3.02,0.18,0.52,0.03,121.28,7.42,171.77,10.52,79.68,4.88,0.6,0.04,0.01,1.0,232.47,14.3,13.01,8.57,13.33,3.38,1.6,2.49,1.68,7.18,1.29,0.87,13.63,289.26,17.78,16.29,9.57,16.61,2.51,1.78,2.31,2.28,7.46,1.62,0.92,18.92,346.06,21.25,20.09,10.67,19.91,2.92,0.78,3.17,1.52,7.94,1.54,1.07,19.36,5,15.44,262.44,1.0
Puka Nacua,LAR,WR,1.0,17.0,105.0,6.18,160.0,9.41,1486.0,87.41,14.15,68.0,4.0,80.0,30.88,25.0,1.47,6.0,0.35,12.0,0.71,89.0,5.24,7.42,5.0,0.29,0.0,0.0,117.0,6.88,172.0,10.12,73.0,4.29,0.0,0.0,0.0,1.0,193.5,11.38,11.9,6.74,11.23,5.0,1.0,2.0,4.0,5.0,1.12,0.42,11.86,246.0,14.47,16.2,7.73,14.21,5.0,1.0,2.0,4.0,5.0,1.12,0.42,16.91,298.5,17.56,18.7,8.89,17.13,4.0,2.0,2.0,3.0,6.0,1.12,0.55,17.06,1,12.96,220.4,4.0
Cooper Kupp,LAR,WR,2.0,12.46,83.37,6.68,117.12,9.4,1010.32,79.63,11.97,47.31,3.77,64.18,28.72,14.22,1.11,7.06,0.56,4.14,0.39,20.54,1.96,2.2,1.66,0.16,0.28,0.03,87.51,7.07,121.26,9.78,48.97,3.93,0.4,0.04,0.0,0.98,147.52,11.69,10.99,6.37,11.69,4.06,0.43,1.6,1.58,4.78,1.81,0.83,11.78,189.2,15.03,14.35,7.35,14.96,3.82,0.49,1.29,1.68,5.18,2.61,1.05,16.65,230.89,18.37,18.2,8.45,18.21,3.09,1.26,0.97,1.46,5.68,3.85,1.32,17.82,5,11.16,189.79,14.0
CeeDee Lamb,DAL,WR,1.0,16.69,109.4,6.52,154.2,9.2,1421.37,84.78,13.03,67.42,4.03,64.46,27.97,24.6,1.47,9.2,0.55,11.48,0.68,84.08,5.03,7.22,4.55,0.27,0.95,0.06,120.88,7.21,165.68,9.89,71.97,4.3,0.95,0.06,0.01,1.0,211.38,12.6,10.73,7.14,12.23,4.52,1.43,1.72,3.92,5.09,1.45,0.47,11.91,266.08,15.86,13.73,8.23,15.29,4.4,1.28,1.72,3.78,5.51,1.53,0.55,16.59,320.78,19.13,16.74,9.39,18.34,3.86,1.63,1.12,4.57,5.51,1.95,0.55,17.06,4,14.46,245.9,2.0
Davante Adams,LV,WR,1.0,16.45,107.34,6.58,172.08,10.47,1350.83,82.64,12.62,67.0,4.11,53.51,27.05,17.77,1.08,11.45,0.71,0.83,0.05,-0.28,-0.02,-0.09,0.0,0.0,0.0,0.0,108.17,6.63,172.91,10.51,67.0,4.11,0.12,0.01,0.0,1.0,203.49,12.5,9.84,8.71,11.54,4.85,2.72,2.28,1.32,5.28,0.77,0.56,11.0,257.16,15.78,13.15,9.96,14.54,4.11,2.77,2.11,2.18,5.28,1.03,0.56,15.74,310.82,19.07,16.59,11.27,17.55,4.08,2.62,2.29,1.77,5.69,1.03,0.6,16.31,5,12.76,216.96,6.0
Amon-Ra St. Brown,DET,WR,1.0,16.0,108.12,6.76,148.16,9.26,1248.6,78.04,11.46,67.32,4.21,54.64,24.52,15.68,0.98,7.28,0.46,6.88,0.43,64.0,4.0,8.62,2.0,0.12,0.16,0.01,115.0,7.19,155.04,9.69,69.32,4.33,0.36,0.02,0.0,1.0,175.82,10.99,9.05,6.89,10.94,4.36,3.4,1.8,2.2,4.24,0.75,0.38,10.19,229.88,14.36,12.51,7.83,14.24,4.04,1.92,2.16,3.0,4.88,1.85,0.45,15.58,283.94,17.75,16.12,8.91,17.5,3.56,0.8,3.76,2.28,5.6,1.85,0.59,16.28,3,14.35,244.03,3.0
Keenan Allen,CHI,WR,1.0,12.85,95.02,7.38,134.03,10.36,1056.75,82.39,11.14,54.17,4.2,41.38,25.84,13.28,1.03,6.11,0.48,1.23,0.1,4.58,0.4,3.34,0.69,0.06,0.0,0.0,96.25,7.48,135.26,10.46,54.86,4.26,0.94,0.08,0.01,0.99,144.01,11.2,9.22,6.44,11.23,2.34,2.98,3.32,1.43,2.77,0.51,0.3,10.09,191.52,14.89,12.58,7.53,14.8,1.8,2.22,2.92,2.72,3.18,0.87,0.37,15.35,239.03,18.58,16.1,8.84,18.28,1.92,2.51,2.05,1.91,4.46,1.05,0.62,16.33,5,11.21,190.49,13.0
Stefon Diggs,HOU,WR,1.0,16.88,109.55,6.5,160.37,9.51,1309.4,77.72,11.94,45.26,2.69,55.55,27.0,13.54,0.81,9.2,0.55,0.82,0.05,1.37,0.08,1.37,0.42,0.02,0.0,0.0,110.37,6.55,161.18,9.56,45.68,2.72,0.42,0.02,0.0,1.0,186.28,11.05,10.33,6.86,10.9,5.05,1.97,2.28,3.43,4.15,0.87,0.36,10.76,241.05,14.3,14.04,7.59,14.16,4.86,1.28,2.77,2.65,5.32,0.91,0.53,15.11,295.83,17.55,17.85,8.41,17.44,4.4,0.65,3.62,2.71,5.51,0.97,0.55,16.64,5,11.14,189.35,15.0
Tank Dell,HOU,WR,2.0,11.0,47.0,4.27,75.0,6.82,709.0,64.45,15.09,34.0,3.09,68.0,23.73,10.0,0.91,7.0,0.64,11.0,1.0,51.0,4.64,4.64,3.0,0.27,0.0,0.0,58.0,5.27,86.0,7.82,37.0,3.36,0.0,0.0,0.0,1.0,118.0,10.73,12.2,8.34,10.04,5.0,0.0,0.0,3.0,3.0,1.2,0.38,11.27,141.5,12.86,14.7,9.42,12.02,5.0,0.0,0.0,3.0,3.0,1.2,0.38,14.75,165.0,15.0,17.2,10.54,14.03,5.0,0.0,0.0,3.0,3.0,1.2,0.38,14.87,1,9.55,162.36,24.0
Deebo Samuel Sr.,SF,WR,1.0,13.65,58.71,4.32,90.75,6.64,853.05,61.25,14.13,32.8,2.4,57.85,26.15,13.58,0.98,4.69,0.32,38.88,2.74,228.29,15.84,5.6,11.62,0.79,4.38,0.29,97.58,7.07,129.63,9.38,44.42,3.19,0.92,0.06,0.01,0.98,161.67,11.35,11.12,6.82,11.18,4.32,0.82,1.71,2.28,4.52,1.41,0.51,11.34,191.03,13.51,13.02,7.59,13.38,3.92,1.91,1.48,1.88,4.46,1.13,0.49,14.42,220.38,15.67,15.26,8.45,15.58,3.92,2.37,1.52,1.55,4.28,0.81,0.46,14.38,5,7.74,131.62,43.0
A.J. Brown,PHI,WR,1.0,15.89,88.65,5.54,138.22,8.64,1311.82,81.74,14.85,60.49,3.79,65.62,29.44,18.54,1.15,8.23,0.52,0.37,0.03,1.85,0.14,0.92,0.18,0.01,0.0,0.0,89.02,5.56,138.58,8.67,60.68,3.81,1.51,0.09,0.02,1.0,178.47,11.17,9.84,7.73,10.66,4.69,1.83,1.83,3.34,4.2,0.92,0.39,10.45,222.8,13.94,12.23,8.72,13.29,4.69,0.68,2.83,3.89,3.8,0.97,0.33,14.34,267.12,16.7,15.37,9.78,15.94,4.28,1.09,2.6,3.98,3.94,1.04,0.34,14.81,5,12.26,208.5,9.0
Ja'Marr Chase,CIN,WR,1.0,15.26,91.89,6.08,137.95,9.13,1212.63,79.43,13.34,59.95,3.97,72.21,29.73,15.37,1.0,8.89,0.59,4.47,0.3,4.11,0.28,0.19,0.42,0.03,0.0,0.0,96.37,6.38,142.42,9.43,60.37,3.99,0.84,0.06,0.01,1.0,173.22,11.36,8.62,9.17,10.39,5.16,3.21,1.16,1.0,4.74,0.63,0.47,9.8,219.16,14.4,11.01,10.43,13.15,5.32,2.53,1.68,0.53,5.21,0.63,0.52,13.91,265.11,17.44,13.49,11.77,15.92,4.68,3.26,1.26,1.05,5.0,0.73,0.5,14.06,3,12.63,214.7,7.0
Mike Evans,TB,WR,2.0,16.14,76.42,4.74,126.12,7.82,1147.46,71.1,14.99,54.22,3.37,63.25,28.77,19.72,1.23,11.25,0.69,0.18,0.01,1.85,0.11,1.85,0.18,0.01,0.0,0.0,76.6,4.76,126.31,7.83,54.4,3.38,0.0,0.0,0.0,1.0,182.41,11.26,9.88,7.86,10.74,5.35,0.88,3.03,3.02,3.86,0.78,0.32,10.24,220.62,13.63,11.97,8.68,13.05,5.35,0.88,2.88,3.17,3.86,0.8,0.32,13.71,258.82,16.01,14.23,9.55,15.39,5.77,1.0,2.75,2.69,3.92,0.71,0.33,13.8,5,11.5,195.42,11.0
Antonio Brown,FA,WR,0.0,7.25,42.75,5.9,62.0,8.58,529.5,73.49,12.42,28.5,3.95,58.0,29.14,9.0,1.26,4.0,0.55,1.25,0.17,4.0,0.58,4.25,0.38,0.05,0.0,0.0,44.0,6.07,63.25,8.75,28.87,4.01,0.0,0.0,0.0,0.85,77.35,10.73,9.13,8.41,10.01,3.5,0.0,1.0,0.25,2.5,0.65,0.6,8.36,98.72,13.68,13.81,9.37,12.8,2.25,1.5,0.0,1.0,2.5,1.08,0.6,13.16,120.1,16.63,18.46,10.48,15.58,2.25,1.5,0.0,1.0,2.5,1.08,0.6,13.67,5,6.52,110.76,50.0
Chris Olave,NO,WR,1.0,15.6,81.0,5.18,130.4,8.34,1090.6,69.9,13.53,53.4,3.42,51.8,25.31,14.8,0.95,4.6,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,5.18,130.4,8.34,53.4,3.42,0.8,0.05,0.01,1.0,137.06,8.78,8.6,4.0,9.87,5.2,1.4,3.4,4.2,1.4,0.56,0.1,9.0,177.56,11.37,11.34,4.67,12.66,5.2,1.4,2.8,4.2,2.0,0.67,0.14,13.07,218.06,13.96,13.84,5.45,15.39,4.8,2.0,2.4,4.4,2.0,0.74,0.14,13.51,2,9.75,165.8,23.0
DeAndre Hopkins,TEN,WR,2.0,13.37,70.78,5.46,115.0,8.72,916.38,69.27,12.97,44.77,3.42,52.02,25.26,11.83,0.87,5.95,0.46,0.95,0.06,3.86,0.23,1.99,0.0,0.0,0.0,0.0,71.74,5.52,115.95,8.77,44.77,3.42,0.52,0.05,0.01,0.97,126.7,9.6,8.73,6.56,9.58,5.34,1.85,2.02,2.05,2.12,0.46,0.21,8.74,162.09,12.33,11.44,7.31,12.31,4.78,1.98,0.88,3.09,2.63,0.86,0.24,12.92,197.49,15.06,14.29,8.19,15.03,4.85,1.23,1.98,2.74,2.57,0.8,0.24,13.3,5,8.91,151.39,31.0
Chris Godwin,TB,WR,1.0,15.28,89.37,5.91,127.11,8.34,1015.66,67.07,11.52,52.14,3.44,45.62,23.09,12.95,0.86,3.45,0.24,3.23,0.21,21.05,1.3,5.38,1.98,0.13,0.6,0.04,92.6,6.11,130.34,8.54,54.12,3.56,0.92,0.06,0.01,1.0,127.49,8.47,7.44,4.57,9.2,7.71,2.18,0.83,2.91,1.65,0.47,0.13,8.23,172.17,11.43,10.64,5.26,12.34,6.0,3.06,1.35,2.91,1.95,0.56,0.16,12.65,216.86,14.38,13.5,6.08,15.41,4.85,3.2,2.55,2.45,2.23,0.5,0.19,13.23,5,8.29,140.97,32.0
Jaylen Waddle,MIA,WR,2.0,15.37,79.68,5.2,115.68,7.53,1122.21,72.85,14.43,53.63,3.48,66.95,28.48,14.0,0.9,5.68,0.37,2.79,0.18,14.53,0.93,4.95,0.68,0.05,0.21,0.01,82.47,5.38,118.47,7.72,54.32,3.53,0.53,0.03,0.01,1.0,147.99,9.57,8.24,5.93,9.78,6.21,2.11,1.58,2.32,3.16,0.57,0.26,8.94,187.83,12.17,10.74,6.83,12.37,5.53,1.95,2.95,2.11,2.84,0.48,0.23,12.63,227.67,14.77,13.42,7.81,14.95,5.53,2.26,2.21,2.84,2.53,0.54,0.2,12.99,3,11.83,201.17,10.0
Brandon Aiyuk,SF,WR,2.0,15.97,70.48,4.44,102.51,6.48,1083.08,68.02,15.29,50.48,3.19,60.49,26.22,20.52,1.28,6.66,0.42,2.22,0.15,18.98,1.35,5.39,0.65,0.05,0.25,0.02,72.69,4.59,104.72,6.63,51.12,3.24,0.88,0.05,0.01,1.0,150.27,9.48,8.91,5.54,9.81,6.45,1.25,2.69,3.25,2.34,0.6,0.18,9.05,185.51,11.7,11.48,6.29,12.08,5.89,1.89,3.17,2.55,2.46,0.55,0.2,12.56,220.74,13.93,13.91,7.11,14.35,5.48,2.43,3.05,2.25,2.77,0.55,0.22,12.86,4,10.62,180.61,20.0
DK Metcalf,SEA,WR,1.0,16.46,76.4,4.63,128.17,7.78,1091.85,66.52,14.55,51.23,3.12,68.42,28.46,15.06,0.92,8.43,0.51,0.18,0.01,1.11,0.06,1.11,0.0,0.0,0.0,0.0,76.58,4.64,128.35,7.79,51.23,3.12,0.68,0.04,0.01,1.0,158.53,9.65,8.74,6.49,9.61,5.46,2.34,2.65,3.22,2.8,0.59,0.21,9.05,196.73,11.97,11.34,7.09,12.0,5.18,2.52,3.06,3.08,2.62,0.56,0.19,12.55,234.93,14.29,13.81,7.79,14.4,4.88,2.68,3.4,3.31,2.2,0.53,0.16,12.87,5,8.94,152.01,29.0
Amari Cooper,CLE,WR,1.0,15.68,75.38,4.81,124.92,7.97,1137.26,72.73,15.17,52.62,3.35,62.45,28.15,18.08,1.16,6.66,0.42,0.74,0.05,1.72,0.11,0.29,0.12,0.01,0.0,0.0,76.12,4.85,125.66,8.02,52.74,3.35,0.42,0.03,0.0,1.0,153.84,9.81,8.24,8.22,9.26,6.63,1.54,2.77,1.08,3.66,0.43,0.31,8.71,191.53,12.22,11.09,9.25,11.52,6.22,1.58,3.45,0.77,3.66,0.4,0.31,12.39,229.22,14.62,13.74,10.34,13.79,6.68,0.85,3.38,0.65,4.12,0.44,0.37,12.78,5,9.48,161.17,25.0
Jayden Reed,GB,WR,2.0,16.0,64.0,4.0,94.0,5.88,793.0,49.56,12.39,32.0,2.0,59.0,24.12,13.0,0.81,8.0,0.5,11.0,0.69,119.0,7.44,10.82,6.0,0.38,2.0,0.12,75.0,4.69,105.0,6.56,38.0,2.38,0.0,0.0,0.0,1.0,153.2,9.57,9.65,5.5,9.94,5.0,3.0,0.0,5.0,3.0,1.0,0.23,9.79,185.2,11.58,11.65,6.09,12.06,5.0,3.0,2.0,4.0,2.0,0.6,0.14,12.2,217.2,13.58,13.65,6.73,14.2,5.0,3.0,2.0,5.0,1.0,0.6,0.07,12.57,1,11.12,189.12,16.0
DeVonta Smith,PHI,WR,2.0,16.53,81.84,4.95,117.89,7.13,1075.47,65.12,13.22,49.32,2.98,53.74,25.42,15.68,0.95,6.58,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.84,4.95,117.89,7.13,49.32,2.98,1.0,0.06,0.01,1.0,145.44,8.81,7.86,6.07,8.93,7.21,1.95,1.58,2.53,3.26,0.55,0.25,8.37,186.36,11.29,10.74,6.75,11.47,7.21,0.53,2.68,2.84,3.26,0.59,0.25,12.08,227.28,13.77,13.35,7.53,14.0,6.74,0.47,3.21,2.53,3.58,0.59,0.28,12.68,3,10.95,186.09,17.0
DJ Moore,CHI,WR,2.0,16.75,82.62,4.93,133.78,7.98,1172.92,70.15,14.33,56.37,3.37,62.18,26.92,20.38,1.22,6.49,0.39,6.15,0.37,34.97,2.08,6.11,2.11,0.13,0.42,0.02,88.77,5.28,139.94,8.35,58.48,3.49,0.6,0.04,0.01,1.0,161.4,9.64,6.84,7.7,9.23,8.15,1.37,1.78,1.95,3.49,0.5,0.28,8.18,202.71,12.1,9.67,8.41,11.67,6.86,2.48,1.97,1.95,3.49,0.5,0.28,12.04,244.02,14.56,12.62,9.19,14.14,6.86,1.75,2.28,2.2,3.66,0.56,0.31,12.54,5,10.68,181.49,19.0
