Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Davante Adams,LV,WR,1.0,14.6,96.2,6.56,148.2,10.11,1185.6,80.72,12.28,56.4,3.85,56.2,27.05,12.0,0.8,11.8,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.2,6.56,148.2,10.11,56.4,3.85,0.0,0.0,0.0,1.0,190.56,12.99,12.96,4.86,14.06,2.0,1.0,1.2,6.0,4.4,2.93,0.44,14.22,238.66,16.26,16.18,5.49,17.63,1.6,0.8,1.2,5.0,6.0,4.43,0.7,19.45,286.76,19.54,19.28,6.26,21.12,2.0,0.0,1.6,4.8,6.2,4.43,0.75,20.2,3,12.27,208.62,9.0
Michael Thomas,FA,WR,0.0,16.0,131.95,8.24,165.42,10.34,1522.89,95.18,11.55,81.53,5.1,55.0,26.29,17.0,1.06,8.16,0.51,0.47,0.03,-4.26,-0.27,-4.26,0.0,0.0,0.0,0.0,132.42,8.28,165.89,10.37,81.53,5.1,0.63,0.04,0.01,1.0,199.55,12.47,12.18,6.39,12.48,3.16,1.26,2.58,3.26,5.74,1.48,0.58,12.81,265.52,16.6,16.68,7.47,16.46,3.16,0.84,1.74,4.05,6.21,2.58,0.69,19.23,331.49,20.72,20.66,8.64,20.41,2.16,1.84,1.11,3.21,7.68,2.73,1.08,20.24,3,15.08,256.41,2.0
DeAndre Hopkins,TEN,WR,1.0,15.6,107.4,6.87,167.4,10.75,1494.4,95.7,13.94,76.2,4.88,58.2,29.84,19.0,1.21,11.8,0.76,0.6,0.04,-4.2,-0.26,-4.2,0.0,0.0,0.0,0.0,108.0,6.91,168.0,10.79,76.2,4.88,1.6,0.1,0.02,1.0,216.62,13.9,11.99,6.29,13.95,0.0,3.2,3.2,4.2,5.0,1.7,0.47,13.37,270.32,17.33,15.15,6.92,17.49,0.0,1.6,4.2,4.2,5.6,1.87,0.56,18.7,324.02,20.76,18.25,7.69,21.01,0.0,1.0,4.4,4.0,6.2,2.37,0.67,19.16,3,15.59,264.98,1.0
Davante Adams,NYJ,WR,1.0,12.0,83.0,6.92,127.0,10.58,997.0,83.08,12.01,54.0,4.5,58.0,26.33,12.0,1.0,5.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,6.92,127.0,10.58,54.0,4.5,1.0,0.08,0.01,1.0,129.7,10.81,11.2,5.51,11.22,4.0,0.0,2.0,2.0,4.0,1.0,0.5,11.61,171.2,14.27,15.55,6.15,14.83,4.0,0.0,0.0,4.0,4.0,2.0,0.5,17.63,212.7,17.73,19.05,6.97,18.38,3.0,1.0,0.0,3.0,5.0,2.0,0.71,18.39,1,10.84,184.2,20.0
Julio Jones,FA,WR,0.0,15.53,101.11,6.51,159.21,10.26,1493.89,96.12,14.81,75.84,4.89,55.05,30.71,20.68,1.33,6.0,0.39,1.79,0.11,5.53,0.34,4.34,0.53,0.03,0.0,0.0,102.89,6.63,161.0,10.38,76.37,4.92,0.63,0.04,0.01,1.0,184.68,11.89,10.45,6.71,11.81,3.21,2.89,2.84,1.84,4.74,0.86,0.47,11.31,235.23,15.14,13.86,7.73,14.95,2.53,2.58,3.37,1.21,5.84,0.94,0.69,16.65,285.78,18.4,17.41,8.82,18.08,1.89,3.21,2.84,1.74,5.84,1.14,0.69,16.97,3,13.22,224.79,5.0
Odell Beckham Jr.,MIA,WR,1.0,8.8,56.2,6.35,90.8,10.3,752.0,82.8,13.03,36.6,4.05,49.8,30.4,10.2,0.85,4.8,0.6,3.4,0.35,14.6,1.75,5.48,1.2,0.1,0.0,0.0,59.6,6.7,94.2,10.65,37.8,4.15,0.6,0.05,0.01,0.86,111.64,12.57,12.48,6.6,12.49,2.2,0.6,1.6,1.2,3.2,1.0,0.7,10.99,139.74,15.75,16.2,7.04,15.87,1.6,1.2,0.4,3.0,2.6,1.6,0.6,15.81,167.84,18.92,19.02,7.65,19.24,1.6,0.0,1.2,2.2,3.8,2.4,0.83,16.35,3,9.29,157.99,29.0
DeAndre Hopkins,KC,WR,1.0,15.0,104.0,6.93,150.0,10.0,1165.0,77.67,11.2,68.0,4.53,43.0,25.13,16.0,1.07,7.0,0.47,2.0,0.13,18.0,1.2,9.0,2.0,0.13,0.0,0.0,106.0,7.07,152.0,10.13,70.0,4.67,0.0,0.0,0.0,1.0,165.5,11.03,10.6,6.47,11.0,4.0,2.0,3.0,2.0,4.0,0.67,0.36,10.84,217.5,14.5,13.1,6.84,14.68,3.0,1.0,4.0,3.0,4.0,0.88,0.36,15.81,269.5,17.97,16.5,7.3,18.42,3.0,1.0,3.0,3.0,5.0,1.14,0.5,16.67,1,13.27,225.59,4.0
Julian Edelman,FA,WR,0.0,14.4,89.6,6.22,135.0,9.34,1010.2,70.22,11.3,48.8,3.4,40.8,23.4,12.6,0.89,6.0,0.43,8.4,0.6,59.0,4.58,6.78,4.0,0.3,0.0,0.0,98.0,6.82,143.4,9.94,52.8,3.7,0.6,0.04,0.01,1.0,147.14,10.31,10.38,4.54,11.41,3.8,1.0,4.2,3.0,2.4,0.67,0.2,10.68,191.94,13.41,13.61,5.12,14.85,2.8,1.0,4.2,3.6,2.8,0.92,0.23,15.44,236.74,16.52,17.15,5.86,18.18,2.8,0.4,3.0,5.4,2.8,1.33,0.23,16.65,2,9.95,169.09,24.0
Tyreek Hill,MIA,WR,2.0,13.89,70.74,5.06,107.53,7.69,1123.47,79.74,15.71,46.05,3.3,67.32,36.02,13.95,0.98,8.58,0.61,14.32,0.99,71.0,4.72,4.26,3.63,0.24,0.32,0.02,85.05,6.05,121.84,8.68,49.68,3.54,0.0,0.0,0.0,1.0,172.39,12.21,8.98,8.6,11.31,4.53,2.79,0.21,1.84,4.53,0.84,0.48,10.42,207.76,14.74,11.96,9.38,13.76,4.0,2.84,0.68,1.53,4.84,0.84,0.53,14.41,243.13,17.26,15.1,10.24,16.24,4.0,2.32,1.47,1.26,4.84,0.79,0.53,14.85,3,12.98,220.67,6.0
Mike Evans,TB,WR,1.0,14.37,73.84,5.13,128.11,8.93,1240.05,86.29,16.74,58.95,4.1,63.32,31.46,17.11,1.19,7.37,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.84,5.13,128.11,8.93,58.95,4.1,0.32,0.02,0.0,1.0,168.95,11.81,9.27,8.61,11.05,5.0,1.68,1.05,3.0,3.63,0.86,0.34,10.33,205.87,14.37,11.65,9.63,13.49,4.79,1.68,1.74,2.53,3.63,0.75,0.34,14.22,242.79,16.94,14.26,10.74,15.96,4.26,2.47,1.16,2.74,3.74,0.84,0.36,14.28,3,12.06,204.94,11.0
